,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,Decision Tree,78.15795328,88.16899767,69.11764706,77.18916979,"['age', 'sex', 'cp']"
1,Decision Tree,64.64886911,68.34889865,66.02941176,66.5224196,"['age', 'sex', 'trestbps']"
2,Decision Tree,65.9054505,70.97315185,64.08088235,66.59486316,"['age', 'sex', 'chol']"
3,Decision Tree,66.27252503,69.6755194,68.41911765,68.57571492,"['age', 'sex', 'fbs']"
4,Decision Tree,65.92843901,69.02422333,67.75735294,67.79947324,"['age', 'sex', 'restecg']"
5,Decision Tree,72.2332221,77.54041353,69.74264706,72.83011179,"['age', 'sex', 'thalach']"
6,Decision Tree,74.28921023,77.33623368,75.77205882,76.28643742,"['age', 'sex', 'exang']"
7,Decision Tree,68.32925473,71.7388234,70.29411765,70.75971127,"['age', 'sex', 'oldpeak']"
8,Decision Tree,74.85687801,84.35347985,67.31617647,74.47317281,"['age', 'sex', 'slope']"
9,Decision Tree,74.49276974,75.42771665,81.875,77.79471297,"['age', 'sex', 'ca']"
10,Decision Tree,74.15869485,79.92865223,70.84558824,74.96560721,"['age', 'sex', 'thal']"
11,Decision Tree,71.99740452,79.92678482,66.21323529,71.33157354,"['age', 'cp', 'trestbps']"
12,Decision Tree,70.63033,77.17265685,68.56617647,71.22196651,"['age', 'cp', 'chol']"
13,Decision Tree,72.66481275,81.38638078,65.55147059,71.65443889,"['age', 'cp', 'fbs']"
14,Decision Tree,71.99814609,80.36073975,65.55147059,71.20950007,"['age', 'cp', 'restecg']"
15,Decision Tree,72.63255469,79.91975839,68.52941176,72.4675401,"['age', 'cp', 'thalach']"
16,Decision Tree,73.32295143,75.21604591,76.50735294,75.33572647,"['age', 'cp', 'exang']"
17,Decision Tree,73.34223211,74.16212316,80.22058824,76.2500487,"['age', 'cp', 'oldpeak']"
18,Decision Tree,77.59176863,81.25376176,77.64705882,79.13038327,"['age', 'cp', 'slope']"
19,Decision Tree,77.48275862,75.06432749,89.15441176,81.2767976,"['age', 'cp', 'ca']"
