Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
Decision Tree,77.49425287,72.8014778,87.63736264,78.64986089,"['age', 'sex', 'cp']"
Decision Tree,67.35632184,65.10244984,65.65934066,64.75252023,"['age', 'sex', 'trestbps']"
Decision Tree,66.65517241,61.83079021,71.53846154,66.06986731,"['age', 'sex', 'chol']"
Decision Tree,67.68965517,65.21356095,66.37362637,65.29599849,"['age', 'sex', 'fbs']"
Decision Tree,67.68965517,65.21356095,66.37362637,65.29599849,"['age', 'sex', 'restecg']"
Decision Tree,72.73563218,69.70756939,77.30769231,72.48419539,"['age', 'sex', 'thalach']"
Decision Tree,73.08045977,72.49454712,69.34065934,70.28672172,"['age', 'sex', 'exang']"
Decision Tree,67.4137931,65.08902535,63.57142857,63.39229188,"['age', 'sex', 'oldpeak']"
Decision Tree,73.7816092,68.79579519,81.81318681,74.43503591,"['age', 'sex', 'slope']"
Decision Tree,75.77011494,76.9047619,68.79120879,71.71143671,"['age', 'sex', 'ca']"
Decision Tree,76.47126437,71.09495978,84.01098901,76.69486072,"['age', 'sex', 'thal']"
Decision Tree,73.44827586,69.98351648,78.2967033,73.17671563,"['age', 'cp', 'trestbps']"
Decision Tree,70.11494253,69.55023081,64.50549451,65.28872549,"['age', 'cp', 'chol']"
Decision Tree,72.79310345,69.55710956,76.04395604,71.5471785,"['age', 'cp', 'fbs']"
Decision Tree,72.79310345,70.41181041,74.61538462,70.96746835,"['age', 'cp', 'restecg']"
Decision Tree,73.45977011,74.11004274,71.59340659,71.40140034,"['age', 'cp', 'thalach']"
Decision Tree,74.44827586,74.99888347,69.45054945,71.3526595,"['age', 'cp', 'exang']"
Decision Tree,73.12643678,73.9040404,66.53846154,67.55464651,"['age', 'cp', 'oldpeak']"
Decision Tree,76.79310345,76.59934836,76.04395604,74.91773504,"['age', 'cp', 'slope']"
Decision Tree,73.40229885,78.71459096,61.53846154,67.18774202,"['age', 'cp', 'ca']"
Decision Tree,76.48275862,78.61130536,72.47252747,73.285676,"['age', 'cp', 'thal']"
Decision Tree,59.93103448,56.0048182,59.89010989,57.15660202,"['age', 'trestbps', 'chol']"
Decision Tree,60.63218391,58.06642042,59.17582418,57.98619628,"['age', 'trestbps', 'fbs']"
Decision Tree,59.93103448,57.89940615,51.75824176,53.45809597,"['age', 'trestbps', 'restecg']"
Decision Tree,66.64367816,63.51388889,69.23076923,65.43249925,"['age', 'trestbps', 'thalach']"
Decision Tree,70.02298851,66.71784762,75.10989011,70.04452561,"['age', 'trestbps', 'exang']"
Decision Tree,63.66666667,61.12035604,63.51648352,61.51699783,"['age', 'trestbps', 'oldpeak']"
Decision Tree,67.35632184,64.12318564,67.85714286,65.57117667,"['age', 'trestbps', 'slope']"
Decision Tree,70.35632184,70.95337995,62.91208791,65.49993684,"['age', 'trestbps', 'ca']"
Decision Tree,75.7816092,74.64951715,73.18681319,73.28987031,"['age', 'trestbps', 'thal']"
Decision Tree,60.93103448,57.05793175,62.03296703,58.80088366,"['age', 'chol', 'fbs']"
