,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,KNN,67.67185761957731,72.09299837589312,67.9779411764706,69.29632610611132,"['age', 'sex', 'cp']"
1,KNN,59.410826844642195,63.775793650793645,60.110294117647065,61.6073400168473,"['age', 'sex', 'trestbps']"
2,KNN,57.47830923248053,61.601890756302524,60.66176470588236,60.89719953263597,"['age', 'sex', 'chol']"
3,KNN,60.67816091954023,63.42919799498746,64.33823529411764,63.43596244027279,"['age', 'sex', 'fbs']"
4,KNN,61.689655172413794,64.19125018428423,66.80147058823529,65.10481559271882,"['age', 'sex', 'restecg']"
5,KNN,67.58435298479793,70.72824689929953,69.63235294117646,69.8742961431574,"['age', 'sex', 'thalach']"
6,KNN,65.08120133481647,67.31453634085211,69.26470588235294,67.95418654162287,"['age', 'sex', 'exang']"
7,KNN,66.2955135335558,68.48271173271175,72.83088235294117,69.97875685494282,"['age', 'sex', 'oldpeak']"
8,KNN,64.02521319985168,67.76340974986485,65.55147058823529,66.3292969444494,"['age', 'sex', 'slope']"
9,KNN,67.60585836114201,68.57724226574341,77.75735294117648,72.1937771438679,"['age', 'sex', 'ca']"
10,KNN,60.70114942528736,63.18545025665768,68.01470588235293,65.05740769323113,"['age', 'sex', 'thal']"
11,KNN,60.36781609195402,65.10174332891052,60.07352941176472,62.248750014044774,"['age', 'cp', 'trestbps']"
12,KNN,58.11271783463107,61.85819327731094,62.4264705882353,61.93167549310813,"['age', 'cp', 'chol']"
13,KNN,67.32777159807193,71.07006297795772,68.56617647058825,69.24921387462757,"['age', 'cp', 'fbs']"
14,KNN,64.67037449017427,67.96623723713506,67.94117647058823,67.32080360019212,"['age', 'cp', 'restecg']"
15,KNN,69.54134223210974,72.69641108805195,71.47058823529412,71.73420361610715,"['age', 'cp', 'thalach']"
16,KNN,68.34000741564701,70.60566845995572,72.79411764705883,71.21448749508524,"['age', 'cp', 'exang']"
17,KNN,67.34927697441601,68.6671580913067,73.56617647058823,70.63130406583917,"['age', 'cp', 'oldpeak']"
18,KNN,66.37152391546162,69.76603367392842,68.6029411764706,68.79309813908586,"['age', 'cp', 'slope']"
19,KNN,68.94067482387838,70.77318803188706,74.5955882352941,72.34962665418074,"['age', 'cp', 'ca']"
20,KNN,69.2955135335558,72.22939959936865,72.20588235294117,71.71892384553512,"['age', 'cp', 'thal']"
21,KNN,56.36633296255098,59.01587301587301,66.0294117647059,62.07236543265955,"['age', 'trestbps', 'chol']"
22,KNN,60.41156840934371,64.877442002442,60.69852941176471,62.48525992785954,"['age', 'trestbps', 'fbs']"
23,KNN,60.423062662217276,64.68055555555556,61.32352941176471,62.69604969426668,"['age', 'trestbps', 'restecg']"
24,KNN,67.40600667408232,69.21841033063943,71.65441176470588,70.10593638914322,"['age', 'trestbps', 'thalach']"
25,KNN,59.75565443084909,64.20436507936508,60.110294117647065,61.80088840394408,"['age', 'trestbps', 'exang']"
26,KNN,59.722654801631435,64.08577533577534,60.66176470588236,62.094130895601495,"['age', 'trestbps', 'oldpeak']"
27,KNN,60.41156840934371,64.91865079365078,60.735294117647065,62.45411421039571,"['age', 'trestbps', 'slope']"
28,KNN,61.045977011494244,65.6914869186541,60.66176470588236,62.90623981753013,"['age', 'trestbps', 'ca']"
29,KNN,60.734149054505004,64.94371345029239,61.32352941176471,62.846199844416816,"['age', 'trestbps', 'thal']"
30,KNN,57.79013718946977,62.050429146017386,60.62499999999999,61.00986751417785,"['age', 'chol', 'fbs']"
31,KNN,57.1449758991472,61.454023917259214,60.03676470588235,60.42825305021046,"['age', 'chol', 'restecg']"
32,KNN,64.68186874304783,66.11293608352432,73.34558823529412,69.3382769853358,"['age', 'chol', 'thalach']"
33,KNN,58.76863181312568,62.41458425475454,63.01470588235294,62.468797868940186,"['age', 'chol', 'exang']"
34,KNN,57.43455691509084,60.96908939014203,62.38970588235294,61.42573064204944,"['age', 'chol', 'oldpeak']"
35,KNN,58.76863181312568,62.60455768002209,63.01470588235294,62.49897768280122,"['age', 'chol', 'slope']"
36,KNN,57.445309603262885,61.44684155713568,60.588235294117645,60.7220373047354,"['age', 'chol', 'ca']"
37,KNN,57.767890248424166,61.591637937226174,61.80147058823528,61.44229604226823,"['age', 'chol', 'thal']"
38,KNN,61.07823507601038,62.89262371615312,69.30147058823529,65.62842933929272,"['age', 'fbs', 'restecg']"
39,KNN,67.27252502780867,69.95753476829327,70.25735294117646,69.89039791200732,"['age', 'fbs', 'thalach']"
40,KNN,63.41379310344827,65.61746277458352,69.81617647058823,67.49435012982403,"['age', 'fbs', 'exang']"
41,KNN,61.425287356321846,63.46822218589953,71.1029411764706,66.55106654830763,"['age', 'fbs', 'oldpeak']"
42,KNN,62.75713756025213,65.4874011007912,66.25,65.55417576745197,"['age', 'fbs', 'slope']"
43,KNN,67.56210604375232,67.6452551008615,81.28676470588235,73.35299166029216,"['age', 'fbs', 'ca']"
44,KNN,59.38932146829811,61.89828484134582,68.05147058823529,64.27778709938153,"['age', 'fbs', 'thal']"
45,KNN,67.26177233963662,70.25205642310905,69.63235294117646,69.6726832399316,"['age', 'restecg', 'thalach']"
46,KNN,62.40304041527622,64.05056201108833,71.65441176470588,67.35665757531083,"['age', 'restecg', 'exang']"
47,KNN,62.3262884686689,63.72283420614623,73.38235294117646,67.68226813388105,"['age', 'restecg', 'oldpeak']"
48,KNN,62.079718205413414,64.34580323357413,67.46323529411764,65.47812779126167,"['age', 'restecg', 'slope']"
49,KNN,65.2387838338895,66.1956412965297,76.3970588235294,70.53746481416759,"['age', 'restecg', 'ca']"
50,KNN,59.74490174267705,61.8653976742212,69.88970588235294,65.07634393470308,"['age', 'restecg', 'thal']"
51,KNN,67.59510567296998,70.36194653299917,70.25735294117646,70.08647634337987,"['age', 'thalach', 'exang']"
52,KNN,67.92843900630331,70.61346380657525,70.84558823529412,70.49639074902483,"['age', 'thalach', 'oldpeak']"
53,KNN,67.58435298479793,70.72824689929953,69.63235294117646,69.8742961431574,"['age', 'thalach', 'slope']"
54,KNN,68.87467556544308,71.96572265883412,70.80882352941177,71.06920958614835,"['age', 'thalach', 'ca']"
55,KNN,67.59510567296998,70.4358799525208,70.25735294117646,70.07041051265887,"['age', 'thalach', 'thal']"
56,KNN,62.74786800148312,63.63114868372979,74.08088235294117,68.20324459798144,"['age', 'exang', 'oldpeak']"
57,KNN,64.42454579162032,67.29596663226694,67.46323529411764,67.08267102135291,"['age', 'exang', 'slope']"
58,KNN,69.20800889877641,69.19649122807017,81.25,74.35975145652564,"['age', 'exang', 'ca']"
59,KNN,63.37004078605858,64.66827023091327,72.83088235294117,68.21620020149433,"['age', 'exang', 'thal']"
60,KNN,63.026696329254726,64.84920634920634,71.65441176470588,67.74017678192251,"['age', 'oldpeak', 'slope']"
61,KNN,70.96588802373009,69.87712732220743,85.03676470588235,76.19893274307536,"['age', 'oldpeak', 'ca']"
62,KNN,62.09343715239154,63.505580381539474,74.11764705882354,67.84848877068993,"['age', 'oldpeak', 'thal']"
63,KNN,67.28476084538376,68.19942905391822,75.84558823529413,71.51740332195742,"['age', 'slope', 'ca']"
64,KNN,60.77938450129773,62.95345650221812,68.05147058823529,65.13735462801678,"['age', 'slope', 'thal']"
65,KNN,66.61661104931407,66.94246141005463,78.8970588235294,71.98441439155097,"['age', 'ca', 'thal']"
66,KNN,67.59436410826845,72.16971964224285,67.31617647058823,69.09722096723996,"['sex', 'cp', 'trestbps']"
67,KNN,51.45383759733036,54.39444683956059,65.88235294117646,59.22587017956816,"['sex', 'cp', 'chol']"
68,KNN,73.86763070077865,72.53189864046304,85.40441176470588,78.01031379762232,"['sex', 'cp', 'fbs']"
69,KNN,71.210233592881,76.38874769021828,69.66911764705883,72.25961356968288,"['sex', 'cp', 'restecg']"
70,KNN,69.32999629217649,71.38470563664063,73.93382352941177,72.30286962077585,"['sex', 'cp', 'thalach']"
71,KNN,77.61327400815722,78.50810738968634,83.08823529411764,80.22648589574086,"['sex', 'cp', 'exang']"
72,KNN,77.92584352984797,79.45993761140821,83.08823529411764,80.43520335106975,"['sex', 'cp', 'oldpeak']"
73,KNN,77.2269187986652,87.66529304029305,68.45588235294117,76.35257795597062,"['sex', 'cp', 'slope']"
74,KNN,75.52725250278087,73.45404018066557,88.49264705882354,79.97482261470785,"['sex', 'cp', 'ca']"
75,KNN,77.51575824990731,79.37771512113618,80.47794117647058,79.31396839036907,"['sex', 'cp', 'thal']"
76,KNN,52.01928068223951,54.5705574095667,65.91911764705883,59.50444902766885,"['sex', 'trestbps', 'chol']"
77,KNN,55.36336670374491,59.66361983389847,58.161764705882355,57.92138546008514,"['sex', 'trestbps', 'fbs']"
78,KNN,57.95476455320726,60.52856405720183,65.99264705882352,62.56391644549538,"['sex', 'trestbps', 'restecg']"
79,KNN,68.08490915832405,70.41475681181564,71.61764705882354,70.70582674757247,"['sex', 'trestbps', 'thalach']"
80,KNN,63.01371894697814,64.69959207459208,71.54411764705883,67.57753104930525,"['sex', 'trestbps', 'exang']"
81,KNN,65.6618464961068,67.07482721956407,74.04411764705883,69.57987430239751,"['sex', 'trestbps', 'oldpeak']"
82,KNN,62.080459770114935,65.37214973708782,66.13970588235294,65.0888402138402,"['sex', 'trestbps', 'slope']"
83,KNN,63.00222469410457,65.20012735802207,72.16911764705883,67.87012220662267,"['sex', 'trestbps', 'ca']"
84,KNN,61.69039673711531,63.97336451743168,67.94117647058823,65.46019627387814,"['sex', 'trestbps', 'thal']"
85,KNN,51.81015943641083,55.13449656750572,65.29411764705883,59.56869369369369,"['sex', 'chol', 'fbs']"
86,KNN,51.81015943641082,55.009496567505714,65.29411764705883,59.450329361619694,"['sex', 'chol', 'restecg']"
87,KNN,66.42825361512791,68.11432193014507,73.93382352941175,70.62099321776742,"['sex', 'chol', 'thalach']"
88,KNN,51.154245457916204,54.472731861623366,64.70588235294117,58.942324964383786,"['sex', 'chol', 'exang']"
89,KNN,51.78791249536522,54.763630668698646,65.88235294117646,59.47675379887284,"['sex', 'chol', 'oldpeak']"
90,KNN,52.132740081572116,55.06666097172894,65.88235294117646,59.675900313808825,"['sex', 'chol', 'slope']"
91,KNN,52.80014831294031,55.610047624635726,67.72058823529412,60.86847740353212,"['sex', 'chol', 'ca']"
92,KNN,51.81015943641083,55.03800533943555,65.88235294117646,59.76723057644111,"['sex', 'chol', 'thal']"
93,KNN,53.80867630700779,54.20806186768367,96.4705882352941,69.21459445715739,"['sex', 'fbs', 'restecg']"
94,KNN,68.98516870596958,71.21987047180546,73.30882352941177,71.86608801158046,"['sex', 'fbs', 'thalach']"
