,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,Logistic Regression,74.11197626992954,76.75997033582173,75.0,75.45772078789156,"['age', 'sex', 'cp']"
1,Logistic Regression,65.59510567296998,69.55707282913166,65.99264705882352,67.54933791698498,"['age', 'sex', 'trestbps']"
2,Logistic Regression,65.93919169447535,70.38286468433526,65.40441176470588,67.64671307394433,"['age', 'sex', 'chol']"
3,Logistic Regression,65.58435298479793,69.78991596638654,65.36764705882354,67.33985456352629,"['age', 'sex', 'fbs']"
4,Logistic Regression,67.00815721171672,70.30364372469636,70.99264705882354,70.1642691078175,"['age', 'sex', 'restecg']"
5,Logistic Regression,69.2202447163515,70.59133126934984,75.7720588235294,72.72762313169784,"['age', 'sex', 'thalach']"
6,Logistic Regression,71.00889877641825,69.04217064400132,84.92647058823529,76.09073359073359,"['age', 'sex', 'exang']"
7,Logistic Regression,73.62254356692623,74.02831344781809,81.94852941176471,77.07876952768594,"['age', 'sex', 'oldpeak']"
8,Logistic Regression,69.94364108268447,70.41722896986056,77.5735294117647,73.43166076293011,"['age', 'sex', 'slope']"
9,Logistic Regression,76.50500556173527,75.74007936507937,86.13970588235293,80.18450174371226,"['age', 'sex', 'ca']"
10,Logistic Regression,71.87690025954765,73.71480643539468,77.61029411764706,75.18453717647266,"['age', 'sex', 'thal']"
11,Logistic Regression,75.2332220986281,80.51000143647202,74.00735294117646,76.09387660905689,"['age', 'cp', 'trestbps']"
12,Logistic Regression,74.24323322209864,79.27255639097746,73.34558823529412,75.04999238870207,"['age', 'cp', 'chol']"
13,Logistic Regression,74.92213570634038,80.24804658705588,73.93382352941175,75.81369303024901,"['age', 'cp', 'fbs']"
14,Logistic Regression,74.60029662588063,80.08019865411507,73.38235294117646,75.26418500612048,"['age', 'cp', 'restecg']"
15,Logistic Regression,73.93362995921395,76.55876991945104,76.43382352941177,75.8649042019785,"['age', 'cp', 'thalach']"
16,Logistic Regression,77.54727474972192,79.03400280490065,80.69852941176471,79.53195238387936,"['age', 'cp', 'exang']"
17,Logistic Regression,77.21468298109009,78.74141876430207,82.42647058823529,79.74058647445744,"['age', 'cp', 'oldpeak']"
18,Logistic Regression,75.25769373377827,77.27373581011354,78.75,77.63746585924005,"['age', 'cp', 'slope']"
19,Logistic Regression,73.60029662588062,76.32463662068926,76.47058823529412,75.85608851136165,"['age', 'cp', 'ca']"
20,Logistic Regression,72.87690025954764,75.64177489177489,74.55882352941175,74.52934131918953,"['age', 'cp', 'thal']"
21,Logistic Regression,57.03077493511308,58.774144440384845,71.61764705882354,64.16632261455698,"['age', 'trestbps', 'chol']"
22,Logistic Regression,58.666666666666664,60.124015281169676,72.79411764705883,65.44633696486287,"['age', 'trestbps', 'fbs']"
23,Logistic Regression,59.07971820541342,61.66102756892231,68.49264705882354,64.6260749592668,"['age', 'trestbps', 'restecg']"
24,Logistic Regression,68.9851687059696,69.34342875906344,77.05882352941175,72.6815392875265,"['age', 'trestbps', 'thalach']"
25,Logistic Regression,72.02113459399332,69.68502778685846,86.13970588235293,76.97345842082683,"['age', 'trestbps', 'exang']"
26,Logistic Regression,70.06340378198,69.60709259780467,80.80882352941175,74.40131566337499,"['age', 'trestbps', 'oldpeak']"
27,Logistic Regression,69.04115684093438,71.81974874970231,71.61764705882354,71.50639293874426,"['age', 'trestbps', 'slope']"
28,Logistic Regression,72.85761957730811,73.63104284776111,80.03676470588236,76.07755358646786,"['age', 'trestbps', 'ca']"
29,Logistic Regression,71.62254356692623,71.67084154235856,79.41176470588236,75.0287629037629,"['age', 'trestbps', 'thal']"
30,Logistic Regression,56.36410826844642,58.01080022189862,72.79411764705883,64.24302027591501,"['age', 'chol', 'fbs']"
31,Logistic Regression,58.4460511679644,60.76872216191103,68.52941176470588,64.14028822348008,"['age', 'chol', 'restecg']"
32,Logistic Regression,67.04968483500186,68.2636230728336,74.08088235294117,70.85500072264779,"['age', 'chol', 'thalach']"
33,Logistic Regression,71.69855394883204,69.50958919036722,85.55147058823529,76.60837905574748,"['age', 'chol', 'exang']"
34,Logistic Regression,69.01890989988877,69.39632671250318,78.30882352941175,73.1300195042455,"['age', 'chol', 'oldpeak']"
35,Logistic Regression,69.35298479792363,72.07470599575862,71.61764705882354,71.55834749378229,"['age', 'chol', 'slope']"
36,Logistic Regression,73.54727474972191,74.32508856812262,80.66176470588235,76.71401653872027,"['age', 'chol', 'ca']"
