,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,Logistic Regression,69.98850574712645,67.0546464199715,70.0,67.59723379625325,"['age', 'sex', 'cp']"
1,Logistic Regression,65.96551724137932,60.9427565898154,67.85714285714286,63.73233873974432,"['age', 'sex', 'trestbps']"
2,Logistic Regression,64.64367816091954,59.49479278891043,66.48351648351648,62.25939475957007,"['age', 'sex', 'chol']"
3,Logistic Regression,64.97701149425288,59.55667685427748,66.42857142857143,62.02557384217563,"['age', 'sex', 'fbs']"
4,Logistic Regression,64.67816091954023,61.37179487179487,60.71428571428572,60.447419757764585,"['age', 'sex', 'restecg']"
5,Logistic Regression,69.41379310344827,67.45111750994104,62.91208791208791,64.13215103353906,"['age', 'sex', 'thalach']"
6,Logistic Regression,70.6896551724138,78.0952380952381,53.846153846153854,62.10859716661815,"['age', 'sex', 'exang']"
7,Logistic Regression,73.08045977011494,73.89452214452214,63.57142857142858,67.90289890020024,"['age', 'sex', 'oldpeak']"
8,Logistic Regression,71.0689655172414,71.53030303030305,60.0,64.65696943957813,"['age', 'sex', 'slope']"
9,Logistic Regression,77.50574712643677,82.91716616716617,65.16483516483517,71.80504303292908,"['age', 'sex', 'ca']"
10,Logistic Regression,76.36781609195403,75.93713149595503,72.91208791208791,73.73455152765499,"['age', 'sex', 'thal']"
11,Logistic Regression,74.73563218390805,71.92058560634412,75.05494505494505,73.04463425175327,"['age', 'cp', 'trestbps']"
12,Logistic Regression,72.72413793103448,69.87391774891775,72.19780219780219,70.6333080712391,"['age', 'cp', 'chol']"
13,Logistic Regression,74.40229885057472,71.4794091357559,75.05494505494505,72.78656973562423,"['age', 'cp', 'fbs']"
14,Logistic Regression,72.08045977011494,67.60173087146771,78.02197802197803,72.01077116670423,"['age', 'cp', 'restecg']"
15,Logistic Regression,74.75862068965517,73.62770562770564,73.62637362637363,72.64074074074075,"['age', 'cp', 'thalach']"
16,Logistic Regression,71.04597701149424,78.26479076479076,54.61538461538462,62.820609342348476,"['age', 'cp', 'exang']"
17,Logistic Regression,74.7816091954023,75.60722610722611,67.1978021978022,70.9806203735739,"['age', 'cp', 'oldpeak']"
18,Logistic Regression,68.6896551724138,65.0,68.73626373626374,66.48642162435266,"['age', 'cp', 'slope']"
