,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,KNN,68.67816091954022,66.35755910755911,64.94505494505496,65.08377307072959,"['age', 'sex', 'cp']"
1,KNN,62.22988505747126,58.5989010989011,61.15384615384616,59.783068783068785,"['age', 'sex', 'trestbps']"
2,KNN,54.51724137931034,49.76563155626623,54.8901098901099,51.31382103559523,"['age', 'sex', 'chol']"
3,KNN,62.95402298850574,60.18902257872847,59.010989010989015,58.80814922498692,"['age', 'sex', 'fbs']"
4,KNN,62.29885057471265,61.925602175602165,54.56043956043957,56.69022032506014,"['age', 'sex', 'restecg']"
5,KNN,69.33333333333334,66.33641358641358,66.37362637362638,65.93725951432098,"['age', 'sex', 'thalach']"
6,KNN,63.66666666666667,62.42998229840337,57.58241758241758,59.5037592037592,"['age', 'sex', 'exang']"
7,KNN,62.52873563218392,59.946886446886424,55.87912087912088,57.6086901604143,"['age', 'sex', 'oldpeak']"
8,KNN,63.954022988505756,61.602318733897675,61.97802197802198,61.08480748941768,"['age', 'sex', 'slope']"
9,KNN,69.73563218390805,72.29922854922854,56.0989010989011,62.58733578043923,"['age', 'sex', 'ca']"
10,KNN,71.72413793103448,71.35281385281385,64.99999999999999,67.80335985853227,"['age', 'sex', 'thal']"
11,KNN,61.95402298850576,58.39714860303097,62.3076923076923,59.847970634400006,"['age', 'cp', 'trestbps']"
12,KNN,55.58620689655173,52.025091136933234,57.47252747252747,54.11278084660436,"['age', 'cp', 'chol']"
13,KNN,67.6551724137931,66.36996336996337,62.91208791208791,63.33908825363098,"['age', 'cp', 'fbs']"
14,KNN,66.28735632183907,65.17490842490842,64.8901098901099,64.09051474840949,"['age', 'cp', 'restecg']"
15,KNN,71.06896551724138,69.05743194713783,70.16483516483515,69.1096681096681,"['age', 'cp', 'thalach']"
16,KNN,66.29885057471265,64.63996551264353,60.21978021978022,61.41697442342604,"['age', 'cp', 'exang']"
17,KNN,66.05747126436782,64.65306915306917,52.74725274725275,56.825733250415645,"['age', 'cp', 'oldpeak']"
18,KNN,68.32183908045977,65.64566281671544,64.72527472527473,64.68481531240153,"['age', 'cp', 'slope']"
19,KNN,71.36781609195403,74.63736263736264,60.4945054945055,65.94735589248333,"['age', 'cp', 'ca']"
20,KNN,74.10344827586206,75.52047952047953,66.37362637362638,70.018400689765,"['age', 'cp', 'thal']"
21,KNN,57.896551724137936,54.80753968253968,51.97802197802197,52.990000726132656,"['age', 'trestbps', 'chol']"
22,KNN,58.586206896551715,54.758699633699635,58.40659340659341,56.26386009753149,"['age', 'trestbps', 'fbs']"
23,KNN,60.59770114942529,56.976540616246496,59.89010989010989,58.13184640103438,"['age', 'trestbps', 'restecg']"
24,KNN,68.02298850574712,66.64477924036748,63.681318681318686,64.49080459770114,"['age', 'trestbps', 'thalach']"
25,KNN,61.977011494252864,58.4274328612564,59.94505494505494,58.90985045111854,"['age', 'trestbps', 'exang']"
26,KNN,64.01149425287356,61.57142857142857,63.516483516483525,61.746973881480315,"['age', 'trestbps', 'oldpeak']"
27,KNN,58.64367816091954,55.22501028383382,58.73626373626374,56.16001418735831,"['age', 'trestbps', 'slope']"
28,KNN,60.17241379310345,57.03051850110674,60.38461538461538,58.3111931450085,"['age', 'trestbps', 'ca']"
29,KNN,63.33333333333332,59.607017165840695,65.54945054945055,61.99831012081554,"['age', 'trestbps', 'thal']"
30,KNN,56.55172413793104,52.17970917970918,55.27472527472527,53.33803486912005,"['age', 'chol', 'fbs']"
31,KNN,55.206896551724135,51.6193259355024,58.35164835164834,54.65484282948132,"['age', 'chol', 'restecg']"
32,KNN,67.01149425287356,66.05640111522465,61.373626373626365,63.04871592791505,"['age', 'chol', 'thalach']"
33,KNN,57.632183908045974,54.59083511947289,58.62637362637363,56.15325206454239,"['age', 'chol', 'exang']"
34,KNN,57.333333333333336,53.2947425381636,57.967032967032964,54.846743996743996,"['age', 'chol', 'oldpeak']"
35,KNN,54.9655172413793,51.68067604909711,56.15384615384615,53.14056951987987,"['age', 'chol', 'slope']"
36,KNN,55.28735632183908,50.467790465468475,55.714285714285715,52.61874863899335,"['age', 'chol', 'ca']"
37,KNN,58.56321839080459,55.05849134525606,56.86813186813187,55.54226101834555,"['age', 'chol', 'thal']"
38,KNN,62.06896551724137,59.72298534798536,56.42857142857143,57.95140415140414,"['age', 'fbs', 'restecg']"
39,KNN,70.39080459770116,68.24157868275516,68.79120879120877,67.76002135408723,"['age', 'fbs', 'thalach']"
40,KNN,63.275862068965516,61.24764124764124,51.868131868131876,54.94813717572339,"['age', 'fbs', 'exang']"
41,KNN,61.574712643678154,58.65219421101775,51.53846153846155,53.66110685754734,"['age', 'fbs', 'oldpeak']"
42,KNN,60.91954022988506,56.34730207872622,59.72527472527472,57.303045481867365,"['age', 'fbs', 'slope']"
43,KNN,67.6896551724138,71.02777777777777,50.43956043956044,58.56084929563191,"['age', 'fbs', 'ca']"
44,KNN,73.08045977011494,73.67117604617604,65.0,68.41355822810094,"['age', 'fbs', 'thal']"
45,KNN,69.65517241379311,67.15929903429904,67.08791208791209,66.80759687311412,"['age', 'restecg', 'thalach']"
46,KNN,65.24137931034483,63.816433566433574,59.010989010989015,60.9786030061892,"['age', 'restecg', 'exang']"
47,KNN,64.0,64.22023809523809,54.12087912087913,57.68135607520913,"['age', 'restecg', 'oldpeak']"
48,KNN,63.59770114942529,60.844890403713926,58.29670329670329,59.27242185162096,"['age', 'restecg', 'slope']"
49,KNN,68.05747126436782,68.65656565656566,59.12087912087911,62.31780802317887,"['age', 'restecg', 'ca']"
50,KNN,71.6896551724138,72.3465137803373,65.10989010989012,67.7253095674385,"['age', 'restecg', 'thal']"
51,KNN,70.04597701149426,67.92965367965367,67.41758241758241,66.91493321493321,"['age', 'thalach', 'exang']"
52,KNN,68.3448275862069,67.5954356101415,65.65934065934066,65.6287323375755,"['age', 'thalach', 'oldpeak']"
53,KNN,68.3103448275862,66.28173705379588,66.42857142857143,65.42677466211948,"['age', 'thalach', 'slope']"
54,KNN,70.70114942528735,68.3903318903319,68.57142857142857,68.0045566502463,"['age', 'thalach', 'ca']"
55,KNN,68.02298850574712,65.88644198938317,65.16483516483517,64.86817715989382,"['age', 'thalach', 'thal']"
56,KNN,63.310344827586206,64.06943056943057,50.27472527472527,55.59410014301318,"['age', 'exang', 'oldpeak']"
57,KNN,65.63218390804597,63.79793735676088,62.63736263736265,62.189366390005986,"['age', 'exang', 'slope']"
58,KNN,72.42528735632185,78.26631701631702,57.692307692307686,65.82406112406113,"['age', 'exang', 'ca']"
59,KNN,74.0919540229885,74.92735042735042,68.68131868131869,71.21172930018507,"['age', 'exang', 'thal']"
60,KNN,62.95402298850574,61.6635995583364,55.38461538461539,57.72368742368743,"['age', 'oldpeak', 'slope']"
61,KNN,70.75862068965517,78.59013209013209,52.63736263736263,62.57691197691197,"['age', 'oldpeak', 'ca']"
62,KNN,72.33333333333334,73.51698301698302,64.01098901098902,67.83209903539739,"['age', 'oldpeak', 'thal']"
63,KNN,67.65517241379311,68.23834498834499,56.0989010989011,61.34914618392878,"['age', 'slope', 'ca']"
64,KNN,74.37931034482759,73.43538406038407,69.3956043956044,70.92906757854284,"['age', 'slope', 'thal']"
65,KNN,73.06896551724138,74.7542735042735,65.76923076923077,69.41850613154962,"['age', 'ca', 'thal']"
66,KNN,62.965517241379324,59.673839232662765,60.0,59.32055705968751,"['sex', 'cp', 'trestbps']"
67,KNN,53.19540229885058,49.74514374514375,39.28571428571429,43.44676064676064,"['sex', 'cp', 'chol']"
68,KNN,74.14942528735634,75.39592352092353,66.59340659340658,70.06460103281694,"['sex', 'cp', 'fbs']"
69,KNN,74.13793103448276,73.13415944220898,71.75824175824175,71.7603660707109,"['sex', 'cp', 'restecg']"
70,KNN,70.41379310344828,69.31307581307581,64.23076923076924,66.27748560507182,"['sex', 'cp', 'thalach']"
71,KNN,76.42528735632183,80.45183737830797,66.37362637362638,71.1944273746276,"['sex', 'cp', 'exang']"
72,KNN,78.74712643678163,79.08714896214897,75.54945054945054,75.95909625435982,"['sex', 'cp', 'oldpeak']"
73,KNN,78.44827586206897,73.97760946483857,83.24175824175823,78.03778831476274,"['sex', 'cp', 'slope']"
74,KNN,78.73563218390804,88.38170163170163,64.12087912087912,72.78011530365353,"['sex', 'cp', 'ca']"
75,KNN,78.06896551724138,74.84644303065356,81.7032967032967,77.70199532268498,"['sex', 'cp', 'thal']"
76,KNN,51.89655172413794,47.23581973581973,39.61538461538462,42.57605818580331,"['sex', 'trestbps', 'chol']"
77,KNN,53.50574712643677,49.015683147262095,56.923076923076934,51.90103478319491,"['sex', 'trestbps', 'fbs']"
78,KNN,57.229885057471265,52.4441391941392,50.989010989011,51.052628087110854,"['sex', 'trestbps', 'restecg']"
79,KNN,68.36781609195403,66.03513153513154,64.23076923076924,65.0328407224959,"['sex', 'trestbps', 'thalach']"
80,KNN,64.27586206896552,62.36453823953825,58.18681318681319,59.62044513457558,"['sex', 'trestbps', 'exang']"
81,KNN,64.29885057471265,67.01388888888889,53.021978021978036,57.463185843563316,"['sex', 'trestbps', 'oldpeak']"
82,KNN,65.98850574712645,64.65676428834324,62.6923076923077,63.046970143521875,"['sex', 'trestbps', 'slope']"
83,KNN,65.04597701149426,66.03180153180153,55.494505494505496,59.25480751687648,"['sex', 'trestbps', 'ca']"
84,KNN,73.05747126436782,72.8893883893884,70.05494505494505,70.72561890605368,"['sex', 'trestbps', 'thal']"
85,KNN,52.59770114942529,50.821123321123316,37.30769230769231,42.48851518851519,"['sex', 'chol', 'fbs']"
86,KNN,53.781609195402304,52.25719816818888,43.02197802197802,45.85055813751466,"['sex', 'chol', 'restecg']"
87,KNN,64.39080459770115,63.12429237429237,56.48351648351648,59.287456149824955,"['sex', 'chol', 'thalach']"
88,KNN,50.59770114942529,46.1116661116661,37.41758241758241,40.88823221866701,"['sex', 'chol', 'exang']"
89,KNN,55.85057471264368,52.92249417249418,39.28571428571429,44.35198052223224,"['sex', 'chol', 'oldpeak']"
90,KNN,55.49425287356322,50.455128205128204,41.318681318681314,44.86516805393156,"['sex', 'chol', 'slope']"
91,KNN,54.275862068965516,51.27505827505827,38.13186813186814,43.058723163670685,"['sex', 'chol', 'ca']"
92,KNN,57.21839080459771,55.346158743217565,44.50549450549451,48.55496645616586,"['sex', 'chol', 'thal']"
93,KNN,61.68965517241378,58.454322638146174,54.175824175824175,54.97588173783947,"['sex', 'fbs', 'restecg']"
94,KNN,70.04597701149426,68.774607745196,64.34065934065936,65.93701496460118,"['sex', 'fbs', 'thalach']"
95,KNN,68.08045977011496,75.32869907869907,50.49450549450549,57.52795031055899,"['sex', 'fbs', 'exang']"
96,KNN,74.40229885057471,76.20657120657121,64.8901098901099,69.65867884128754,"['sex', 'fbs', 'oldpeak']"
97,KNN,70.65517241379311,74.17957042957043,56.75824175824176,63.841991341991346,"['sex', 'fbs', 'slope']"
98,KNN,77.4367816091954,83.32431457431457,64.94505494505493,72.29235112713373,"['sex', 'fbs', 'ca']"
99,KNN,75.4367816091954,74.59469696969695,70.87912087912088,72.1638625742074,"['sex', 'fbs', 'thal']"
100,KNN,69.6896551724138,68.54883351942176,62.69230769230769,65.14757332429141,"['sex', 'restecg', 'thalach']"
101,KNN,67.7471264367816,74.68073593073593,52.472527472527474,58.516290726817054,"['sex', 'restecg', 'exang']"
102,KNN,73.72413793103448,75.11111111111111,64.94505494505493,69.00429006276083,"['sex', 'restecg', 'oldpeak']"
103,KNN,66.97701149425286,65.54617604617604,63.57142857142858,63.437895927601815,"['sex', 'restecg', 'slope']"
104,KNN,74.06896551724138,74.16441891441892,67.08791208791209,69.0147836912543,"['sex', 'restecg', 'ca']"
105,KNN,76.40229885057471,76.27625152625154,73.02197802197801,73.57049843931402,"['sex', 'restecg', 'thal']"
106,KNN,70.33333333333334,69.69517982017982,64.12087912087912,66.48096360854981,"['sex', 'thalach', 'exang']"
107,KNN,71.73563218390804,73.67882117882118,64.34065934065936,68.08063955590194,"['sex', 'thalach', 'oldpeak']"
108,KNN,70.11494252873563,68.57105394605394,64.56043956043955,65.96818495514147,"['sex', 'thalach', 'slope']"
109,KNN,71.3448275862069,71.74297924297923,64.72527472527474,66.97201657991133,"['sex', 'thalach', 'ca']"
110,KNN,71.3448275862069,71.01760249554367,68.62637362637362,69.26630036630037,"['sex', 'thalach', 'thal']"
111,KNN,74.50574712643679,74.80861244019138,70.93406593406594,72.23408086166707,"['sex', 'exang', 'oldpeak']"
112,KNN,73.10344827586206,73.04465877259994,68.9010989010989,69.84020232640921,"['sex', 'exang', 'slope']"
113,KNN,77.4367816091954,76.14468864468866,75.21978021978022,75.13672116932987,"['sex', 'exang', 'ca']"
114,KNN,73.73563218390805,76.50448897507721,66.53846153846153,69.2533932359584,"['sex', 'exang', 'thal']"
115,KNN,72.6896551724138,74.05594405594405,65.71428571428571,68.95882610365369,"['sex', 'oldpeak', 'slope']"
116,KNN,80.49425287356321,82.24941724941723,74.45054945054946,77.82251096673886,"['sex', 'oldpeak', 'ca']"
117,KNN,75.97701149425286,76.43517919988507,70.54945054945054,72.46807016161856,"['sex', 'oldpeak', 'thal']"
118,KNN,72.72413793103449,76.65585721468075,63.24175824175825,67.69554649198697,"['sex', 'slope', 'ca']"
119,KNN,75.70114942528735,71.02380952380952,81.53846153846155,75.22813488829652,"['sex', 'slope', 'thal']"
120,KNN,76.14942528735631,75.13908640379229,74.01098901098902,73.18416700507913,"['sex', 'ca', 'thal']"
121,KNN,53.24137931034484,49.25974025974026,40.98901098901099,44.430939430939425,"['cp', 'trestbps', 'chol']"
122,KNN,62.241379310344826,58.51680917122094,60.43956043956044,59.19323261091892,"['cp', 'trestbps', 'fbs']"
123,KNN,63.33333333333332,60.85039470333589,57.08791208791209,58.393952745231935,"['cp', 'trestbps', 'restecg']"
124,KNN,68.3103448275862,67.02941502941503,63.4065934065934,64.69662516116792,"['cp', 'trestbps', 'thalach']"
125,KNN,65.35632183908045,63.92445054945054,60.0,61.504780149607754,"['cp', 'trestbps', 'exang']"
126,KNN,69.39080459770115,69.09507159507159,56.26373626373626,60.94292921706275,"['cp', 'trestbps', 'oldpeak']"
127,KNN,64.33333333333333,62.216006216006214,60.82417582417582,60.72456258134669,"['cp', 'trestbps', 'slope']"
128,KNN,66.66666666666667,65.91858141858143,60.4945054945055,62.6565772669221,"['cp', 'trestbps', 'ca']"
129,KNN,75.73563218390807,75.59249084249085,71.53846153846153,73.09848586085467,"['cp', 'trestbps', 'thal']"
130,KNN,55.50574712643679,50.959858768682295,42.417582417582416,45.4909241183604,"['cp', 'chol', 'fbs']"
131,KNN,54.94252873563218,50.219752469752464,42.472527472527474,45.70671019801454,"['cp', 'chol', 'restecg']"
132,KNN,64.29885057471265,64.34394698868383,55.38461538461539,58.63516016994279,"['cp', 'chol', 'thalach']"
133,KNN,55.551724137931025,52.59865134865136,39.67032967032967,44.408824508824516,"['cp', 'chol', 'exang']"
134,KNN,52.14942528735631,48.76999462525779,43.18681318681318,45.07659361572405,"['cp', 'chol', 'oldpeak']"
135,KNN,52.85057471264367,48.9210372960373,39.28571428571429,43.32298345776607,"['cp', 'chol', 'slope']"
136,KNN,53.206896551724135,48.07282913165266,38.791208791208796,41.89099506190961,"['cp', 'chol', 'ca']"
137,KNN,56.20689655172414,53.341079972658925,43.24175824175824,46.90445134575569,"['cp', 'chol', 'thal']"
138,KNN,75.39080459770116,73.70731719261133,75.32967032967034,73.99063899063898,"['cp', 'fbs', 'restecg']"
139,KNN,70.77011494252874,70.2809274059274,65.93406593406593,67.63832400039297,"['cp', 'fbs', 'thalach']"
140,KNN,73.42528735632185,78.45745920745921,65.32967032967034,68.15010917480329,"['cp', 'fbs', 'exang']"
