,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,Logistic Regression,70.10344827586206,67.57223168987875,69.45054945054945,68.29184102265303,"['age', 'sex', 'cp']"
1,Logistic Regression,64.60919540229885,60.90573152337859,66.20879120879121,62.90391462255626,"['age', 'sex', 'trestbps']"
2,Logistic Regression,64.9080459770115,62.333104889606425,67.03296703296704,63.77361089040734,"['age', 'sex', 'chol']"
3,Logistic Regression,66.02298850574712,63.43478180745983,67.96703296703296,64.65281530668071,"['age', 'sex', 'fbs']"
4,Logistic Regression,66.31034482758619,64.36813186813187,62.6923076923077,62.792398047008234,"['age', 'sex', 'restecg']"
5,Logistic Regression,69.62068965517241,69.1818671524554,63.18681318681318,64.52974792685582,"['age', 'sex', 'thalach']"
6,Logistic Regression,70.73563218390804,74.36471861471861,54.83516483516484,62.73197816676077,"['age', 'sex', 'exang']"
7,Logistic Regression,73.40229885057472,76.61159673659674,63.406593406593416,67.75726495726497,"['age', 'sex', 'oldpeak']"
8,Logistic Regression,71.43678160919539,75.55944055944057,60.769230769230774,65.48491267186918,"['age', 'sex', 'slope']"
9,Logistic Regression,77.50574712643679,82.89987789987791,65.1098901098901,72.65553255118473,"['age', 'sex', 'ca']"
10,Logistic Regression,76.36781609195403,75.75832500832502,72.74725274725274,73.89702248997601,"['age', 'sex', 'thal']"
11,Logistic Regression,74.11494252873563,71.23039215686275,75.27472527472528,73.04475048701967,"['age', 'cp', 'trestbps']"
12,Logistic Regression,73.7816091954023,69.98980512951101,75.21978021978022,72.18956502340819,"['age', 'cp', 'chol']"
13,Logistic Regression,74.74712643678161,73.36563436563436,75.1098901098901,73.43753501400559,"['age', 'cp', 'fbs']"
14,Logistic Regression,73.35632183908046,69.11881500852088,80.38461538461539,73.75569216686799,"['age', 'cp', 'restecg']"
15,Logistic Regression,75.77011494252874,75.03393175451998,74.56043956043955,73.66330135412122,"['age', 'cp', 'thalach']"
16,Logistic Regression,71.41379310344827,77.74378399378399,55.659340659340664,62.94563756788821,"['age', 'cp', 'exang']"
17,Logistic Regression,74.73563218390804,76.32109557109558,66.97802197802197,70.70141809437162,"['age', 'cp', 'oldpeak']"
18,Logistic Regression,71.45977011494253,69.32766906296318,70.16483516483515,69.27929568783296,"['age', 'cp', 'slope']"
19,Logistic Regression,75.80459770114942,79.99320124320126,63.681318681318686,70.46595497899847,"['age', 'cp', 'ca']"
20,Logistic Regression,77.73563218390805,79.4164862914863,69.83516483516483,73.5167101014927,"['age', 'cp', 'thal']"
21,Logistic Regression,58.586206896551715,57.18277555777556,43.681318681318686,48.74158142052879,"['age', 'trestbps', 'chol']"
22,Logistic Regression,60.6551724137931,60.85894660894662,45.439560439560445,50.99340200029856,"['age', 'trestbps', 'fbs']"
23,Logistic Regression,58.655172413793096,57.712842712842715,46.92307692307692,50.80420504033697,"['age', 'trestbps', 'restecg']"
24,Logistic Regression,68.62068965517241,69.1198384948385,59.78021978021978,63.499870244697846,"['age', 'trestbps', 'thalach']"
25,Logistic Regression,70.6896551724138,74.91994116994117,53.95604395604396,62.40895079155949,"['age', 'trestbps', 'exang']"
26,Logistic Regression,69.37931034482759,71.36571761571761,57.85714285714286,62.25255819449369,"['age', 'trestbps', 'oldpeak']"
27,Logistic Regression,67.0,63.98544438018122,66.59340659340658,64.86314085020982,"['age', 'trestbps', 'slope']"
28,Logistic Regression,74.05747126436782,77.23376623376623,66.4835164835165,70.67010947295805,"['age', 'trestbps', 'ca']"
29,Logistic Regression,76.35632183908046,73.97358197358199,72.8021978021978,72.83300377783138,"['age', 'trestbps', 'thal']"
30,Logistic Regression,59.62068965517242,58.909090909090914,45.27472527472528,50.82488301303895,"['age', 'chol', 'fbs']"
31,Logistic Regression,59.88505747126436,56.78463203463203,49.45054945054947,52.613123657951256,"['age', 'chol', 'restecg']"
32,Logistic Regression,67.65517241379311,66.5566933066933,61.26373626373627,63.44045699982732,"['age', 'chol', 'thalach']"
33,Logistic Regression,71.0344827586207,77.27106227106228,54.06593406593407,62.75199936939067,"['age', 'chol', 'exang']"
34,Logistic Regression,69.04597701149426,71.2951492951493,57.85714285714286,63.12471554210685,"['age', 'chol', 'oldpeak']"
35,Logistic Regression,68.97701149425288,67.08594101976455,69.34065934065934,67.58532929576572,"['age', 'chol', 'slope']"
36,Logistic Regression,74.47126436781609,76.42628205128206,67.25274725274726,70.89873089873089,"['age', 'chol', 'ca']"
37,Logistic Regression,76.40229885057472,76.2846597846598,72.85714285714285,73.81576530111013,"['age', 'chol', 'thal']"
38,Logistic Regression,59.28735632183908,56.54373404373405,49.61538461538461,52.486132386132375,"['age', 'fbs', 'restecg']"
39,Logistic Regression,67.9655172413793,68.8280314456785,59.89010989010989,62.903372737594346,"['age', 'fbs', 'thalach']"
40,Logistic Regression,71.08045977011493,77.8420745920746,54.06593406593407,62.95722795722796,"['age', 'fbs', 'exang']"
41,Logistic Regression,68.95402298850574,69.9657425907426,58.956043956043956,63.14657181898562,"['age', 'fbs', 'oldpeak']"
42,Logistic Regression,67.33333333333333,64.75992063492065,69.45054945054945,66.15727246316186,"['age', 'fbs', 'slope']"
43,Logistic Regression,74.42528735632183,78.02339327339328,64.17582417582418,70.00388773867036,"['age', 'fbs', 'ca']"
44,Logistic Regression,76.48275862068965,76.12392835922248,73.2967032967033,73.7388956532014,"['age', 'fbs', 'thal']"
45,Logistic Regression,66.62068965517241,65.03413253413254,59.78021978021979,61.88705152918046,"['age', 'restecg', 'thalach']"
46,Logistic Regression,71.06896551724138,76.5530303030303,54.12087912087912,62.55199354421321,"['age', 'restecg', 'exang']"
47,Logistic Regression,69.0,70.07442067736186,59.23076923076923,63.370771257727775,"['age', 'restecg', 'oldpeak']"
48,Logistic Regression,67.26436781609195,65.0651424598793,63.1868131868132,63.06241011995488,"['age', 'restecg', 'slope']"
49,Logistic Regression,74.09195402298849,77.02632090132091,64.34065934065934,69.35731260244002,"['age', 'restecg', 'ca']"
50,Logistic Regression,76.47126436781608,75.41179653679654,73.07692307692307,73.82613363647846,"['age', 'restecg', 'thal']"
51,Logistic Regression,72.09195402298852,73.17857142857143,62.857142857142854,66.73266411527281,"['age', 'thalach', 'exang']"
52,Logistic Regression,73.74712643678161,76.21565934065934,66.59340659340658,69.01455923924162,"['age', 'thalach', 'oldpeak']"
53,Logistic Regression,70.74712643678161,68.8969363969364,66.64835164835165,67.43900186658807,"['age', 'thalach', 'slope']"
54,Logistic Regression,71.97701149425288,72.93261709051183,60.879120879120876,64.47182125442994,"['age', 'thalach', 'ca']"
55,Logistic Regression,76.47126436781609,74.82112332112332,75.3846153846154,74.50159466969811,"['age', 'thalach', 'thal']"
56,Logistic Regression,72.75862068965517,73.15384615384616,65.76923076923077,68.61881219452434,"['age', 'exang', 'oldpeak']"
57,Logistic Regression,69.70114942528734,72.18442668442668,56.97802197802198,63.22395108916847,"['age', 'exang', 'slope']"
58,Logistic Regression,75.73563218390805,75.15351315351315,71.48351648351647,72.93118288230733,"['age', 'exang', 'ca']"
59,Logistic Regression,74.39080459770115,70.82188644688644,78.02197802197803,73.73076551575538,"['age', 'exang', 'thal']"
60,Logistic Regression,70.96551724137929,70.58241758241758,63.1868131868132,66.2760981702511,"['age', 'oldpeak', 'slope']"
61,Logistic Regression,76.09195402298852,79.92582417582416,65.65934065934066,71.34870890672988,"['age', 'oldpeak', 'ca']"
62,Logistic Regression,78.44827586206897,76.61138500302587,78.02197802197803,76.90957576185606,"['age', 'oldpeak', 'thal']"
63,Logistic Regression,74.79310344827586,78.82721445221446,63.516483516483525,69.7224225050312,"['age', 'slope', 'ca']"
64,Logistic Regression,76.47126436781609,76.47613497613499,73.1868131868132,74.21214975441893,"['age', 'slope', 'thal']"
65,Logistic Regression,78.48275862068965,75.81530749951803,79.56043956043956,77.15795942632523,"['age', 'ca', 'thal']"
66,Logistic Regression,69.05747126436782,65.31128593628594,71.70329670329669,68.05486437922477,"['sex', 'cp', 'trestbps']"
67,Logistic Regression,68.70114942528735,65.19673051406797,70.71428571428571,67.48692529404433,"['sex', 'cp', 'chol']"
68,Logistic Regression,69.0,65.18555021689697,70.60439560439559,67.18684324050793,"['sex', 'cp', 'fbs']"
69,Logistic Regression,72.42528735632183,71.32188644688645,70.16483516483515,70.16747889791367,"['sex', 'cp', 'restecg']"
70,Logistic Regression,77.09195402298849,77.51857945975593,72.91208791208791,74.49562687245135,"['sex', 'cp', 'thalach']"
71,Logistic Regression,76.05747126436782,75.36530871089695,72.96703296703296,73.66783193735364,"['sex', 'cp', 'exang']"
72,Logistic Regression,73.74712643678161,73.07171260112437,68.46153846153847,70.15309675698998,"['sex', 'cp', 'oldpeak']"
73,Logistic Regression,75.42528735632185,73.31857031857032,75.82417582417581,73.7085654364515,"['sex', 'cp', 'slope']"
74,Logistic Regression,77.7816091954023,76.7755137019843,75.93406593406593,75.88600910069208,"['sex', 'cp', 'ca']"
75,Logistic Regression,76.7816091954023,78.80419906890495,70.16483516483515,73.62639741612512,"['sex', 'cp', 'thal']"
76,Logistic Regression,60.65517241379309,55.773198715031405,75.27472527472527,63.858464744874475,"['sex', 'trestbps', 'chol']"
77,Logistic Regression,61.95402298850574,56.77535751142562,75.82417582417584,64.59868604796448,"['sex', 'trestbps', 'fbs']"
78,Logistic Regression,60.89655172413793,58.86657786657787,50.989010989011,53.355142026056576,"['sex', 'trestbps', 'restecg']"
79,Logistic Regression,74.11494252873563,75.32142857142857,66.59340659340658,69.53972171978168,"['sex', 'trestbps', 'thalach']"
80,Logistic Regression,71.04597701149426,76.20454545454545,54.12087912087913,62.613519813519815,"['sex', 'trestbps', 'exang']"
81,Logistic Regression,72.6896551724138,74.83893883893884,62.69230769230768,67.85711277450407,"['sex', 'trestbps', 'oldpeak']"
82,Logistic Regression,71.09195402298852,73.37845487845487,59.999999999999986,65.7137442267877,"['sex', 'trestbps', 'slope']"
83,Logistic Regression,77.52873563218391,84.15784215784215,65.27472527472527,72.68319426145513,"['sex', 'trestbps', 'ca']"
84,Logistic Regression,76.11494252873563,75.38461538461539,72.41758241758241,73.3723351999214,"['sex', 'trestbps', 'thal']"
85,Logistic Regression,59.24137931034483,54.5887363335876,75.1098901098901,62.97205687333608,"['sex', 'chol', 'fbs']"
86,Logistic Regression,64.02298850574712,64.6736270265682,54.06593406593407,57.83197511488849,"['sex', 'chol', 'restecg']"
87,Logistic Regression,71.71264367816093,72.65002970885324,65.6043956043956,67.78432511854672,"['sex', 'chol', 'thalach']"
88,Logistic Regression,70.98850574712644,77.76515151515152,53.90109890109891,62.98870984088376,"['sex', 'chol', 'exang']"
89,Logistic Regression,72.7471264367816,75.06993006993007,62.6923076923077,67.67089399578154,"['sex', 'chol', 'oldpeak']"
90,Logistic Regression,71.0344827586207,74.20038295038296,60.10989010989011,64.91130351130352,"['sex', 'chol', 'slope']"
91,Logistic Regression,77.41379310344828,82.76175213675214,64.72527472527473,71.89144510883642,"['sex', 'chol', 'ca']"
92,Logistic Regression,76.47126436781609,76.41025641025641,73.02197802197803,73.59176649465255,"['sex', 'chol', 'thal']"
93,Logistic Regression,63.58620689655174,62.415140415140414,47.91208791208792,53.62280114214937,"['sex', 'fbs', 'restecg']"
94,Logistic Regression,69.71264367816093,69.63797313797313,61.37362637362638,64.75280094995237,"['sex', 'fbs', 'thalach']"
95,Logistic Regression,70.40229885057472,76.2940392940393,52.74725274725274,61.54079833210269,"['sex', 'fbs', 'exang']"
