,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,Naive Bayes,71.12643678,69.62454212,66.64835165,68.02645503,"['age', 'sex', 'cp']"
1,Naive Bayes,67.04597701,63.16895849,67.91208791,65.23045662,"['age', 'sex', 'trestbps']"
2,Naive Bayes,67.04597701,62.82033571,69.3956044,65.66755542,"['age', 'sex', 'chol']"
3,Naive Bayes,65.02298851,61.22985348,65.76923077,63.30932312,"['age', 'sex', 'fbs']"
4,Naive Bayes,65.71264368,62.15277778,65.65934066,63.39589035,"['age', 'sex', 'restecg']"
5,Naive Bayes,70.04597701,71.17249417,64.17582418,66.65855192,"['age', 'sex', 'thalach']"
6,Naive Bayes,68.71264368,73.79273504,54.78021978,61.37342444,"['age', 'sex', 'exang']"
7,Naive Bayes,72.12643678,75.83531746,59.17582418,65.60397573,"['age', 'sex', 'oldpeak']"
8,Naive Bayes,70.73563218,73.17434689,61.42857143,65.4752676,"['age', 'sex', 'slope']"
9,Naive Bayes,76.79310345,82.64529915,63.68131868,71.06163756,"['age', 'sex', 'ca']"
10,Naive Bayes,75.48275862,74.92141192,70.98901099,72.60457805,"['age', 'sex', 'thal']"
11,Naive Bayes,70.40229885,67.28132978,70.87912088,68.50006072,"['age', 'cp', 'trestbps']"
12,Naive Bayes,71.06896552,67.19915173,75.93406593,70.87078914,"['age', 'cp', 'chol']"
13,Naive Bayes,68.06896552,63.95952504,74.45054945,68.38237195,"['age', 'cp', 'fbs']"
14,Naive Bayes,70.77011494,66.59721088,75.32967033,70.18040293,"['age', 'cp', 'restecg']"
15,Naive Bayes,74.11494253,73.80740338,72.30769231,72.26718349,"['age', 'cp', 'thalach']"
16,Naive Bayes,74.4137931,74.87251719,70.87912088,72.01803478,"['age', 'cp', 'exang']"
17,Naive Bayes,76.16091954,76.57517483,70.93406593,72.74788389,"['age', 'cp', 'oldpeak']"
18,Naive Bayes,72.77011494,70.04282469,74.61538462,71.69809286,"['age', 'cp', 'slope']"
19,Naive Bayes,74.74712644,76.44230769,67.25274725,70.85941198,"['age', 'cp', 'ca']"
20,Naive Bayes,78.17241379,79.99865412,70.98901099,74.6368538,"['age', 'cp', 'thal']"
21,Naive Bayes,60.57471264,58.26562327,52.47252747,54.92425192,"['age', 'trestbps', 'chol']"
22,Naive Bayes,57.88505747,54.69230769,48.68131868,50.85847244,"['age', 'trestbps', 'fbs']"
23,Naive Bayes,60.95402299,57.29143882,56.20879121,56.10506173,"['age', 'trestbps', 'restecg']"
24,Naive Bayes,68.70114943,71.17528223,61.20879121,64.11231068,"['age', 'trestbps', 'thalach']"
25,Naive Bayes,69.36781609,73.46192696,56.86813187,62.7867249,"['age', 'trestbps', 'exang']"
26,Naive Bayes,68.4137931,73.14430014,54.78021978,61.05306473,"['age', 'trestbps', 'oldpeak']"
27,Naive Bayes,67.67816092,65.71710153,65,64.8894715,"['age', 'trestbps', 'slope']"
28,Naive Bayes,72.04597701,73.83333333,61.37362637,66.42868291,"['age', 'trestbps', 'ca']"
29,Naive Bayes,74.8045977,74.2739344,70.21978022,71.88648478,"['age', 'trestbps', 'thal']"
30,Naive Bayes,56.91954023,53.08582542,58.40659341,55.11266804,"['age', 'chol', 'fbs']"
31,Naive Bayes,59.59770115,55.69117647,54.01098901,54.17669423,"['age', 'chol', 'restecg']"
32,Naive Bayes,67.34482759,69.78533966,59.01098901,62.03410449,"['age', 'chol', 'thalach']"
33,Naive Bayes,70.05747126,77.82090132,52.58241758,61.58716722,"['age', 'chol', 'exang']"
34,Naive Bayes,69.74712644,77.33440171,52.58241758,61.11622266,"['age', 'chol', 'oldpeak']"
35,Naive Bayes,68.36781609,67.42102995,62.1978022,64.03558257,"['age', 'chol', 'slope']"
36,Naive Bayes,73.3908046,78.34848485,61.48351648,66.93950767,"['age', 'chol', 'ca']"
37,Naive Bayes,74.8045977,74.64056777,68.79120879,71.29422059,"['age', 'chol', 'thal']"
38,Naive Bayes,57.22988506,53.08964646,48.79120879,49.94023333,"['age', 'fbs', 'restecg']"
39,Naive Bayes,68.01149425,73.730491,58.24175824,63.18658438,"['age', 'fbs', 'thalach']"
40,Naive Bayes,70.3908046,78.3978244,52.58241758,61.84357748,"['age', 'fbs', 'exang']"
41,Naive Bayes,68.10344828,77.96518759,48.95604396,58.16604555,"['age', 'fbs', 'oldpeak']"
42,Naive Bayes,70.04597701,69.08303461,65.10989011,66.46885397,"['age', 'fbs', 'slope']"
43,Naive Bayes,74.4137931,78.42152292,62.1978022,68.16750911,"['age', 'fbs', 'ca']"
44,Naive Bayes,75.13793103,75.01935564,69.50549451,71.87883598,"['age', 'fbs', 'thal']"
45,Naive Bayes,68.32183908,70.14697802,61.86813187,64.10469773,"['age', 'restecg', 'thalach']"
46,Naive Bayes,70.3908046,78.3978244,52.58241758,61.84357748,"['age', 'restecg', 'exang']"
47,Naive Bayes,68.08045977,75.3968254,51.15384615,58.58874917,"['age', 'restecg', 'oldpeak']"
48,Naive Bayes,67.34482759,65.87066039,62.08791209,63.11163004,"['age', 'restecg', 'slope']"
49,Naive Bayes,72.3908046,78.99941725,57.8021978,64.53137277,"['age', 'restecg', 'ca']"
50,Naive Bayes,74.45977011,74.59124209,68.02197802,70.95772389,"['age', 'restecg', 'thal']"
51,Naive Bayes,70.70114943,73.04638417,62.69230769,66.60946742,"['age', 'thalach', 'exang']"
52,Naive Bayes,72.04597701,77.21185174,61.86813187,66.64188689,"['age', 'thalach', 'oldpeak']"
53,Naive Bayes,70.36781609,70.21716588,66.42857143,67.52121833,"['age', 'thalach', 'slope']"
54,Naive Bayes,73.36781609,76.26159951,64.17582418,67.86727401,"['age', 'thalach', 'ca']"
55,Naive Bayes,75.81609195,73.02143934,77.52747253,74.90908136,"['age', 'thalach', 'thal']"
56,Naive Bayes,73.43678161,74.88510836,67.14285714,69.87224688,"['age', 'exang', 'oldpeak']"
57,Naive Bayes,68.72413793,72.16888667,56.20879121,61.88928443,"['age', 'exang', 'slope']"
58,Naive Bayes,73.75862069,75.07713855,67.25274725,69.86969722,"['age', 'exang', 'ca']"
59,Naive Bayes,76.81609195,73.00250485,81.81318681,76.60449566,"['age', 'exang', 'thal']"
60,Naive Bayes,71.75862069,73.56371406,62.03296703,66.65421241,"['age', 'oldpeak', 'slope']"
61,Naive Bayes,76.11494253,82.91312854,62.8021978,70.15382395,"['age', 'oldpeak', 'ca']"
62,Naive Bayes,77.83908046,75.48031136,77.52747253,76.38746439,"['age', 'oldpeak', 'thal']"
63,Naive Bayes,75.8045977,83.20929071,62.25274725,69.07855248,"['age', 'slope', 'ca']"
64,Naive Bayes,75.48275862,74.25262238,72.47252747,72.9727422,"['age', 'slope', 'thal']"
65,Naive Bayes,76.44827586,75.39166716,73.07692308,73.96889467,"['age', 'ca', 'thal']"
66,Naive Bayes,72.82758621,69.62960242,75.27472527,71.91176133,"['sex', 'cp', 'trestbps']"
67,Naive Bayes,69.11494253,65.66122603,70.98901099,67.95401665,"['sex', 'cp', 'chol']"
68,Naive Bayes,69.43678161,65.87807944,71.7032967,68.36919357,"['sex', 'cp', 'fbs']"
69,Naive Bayes,73.14942529,73.66594517,65.87912088,69.16146459,"['sex', 'cp', 'restecg']"
70,Naive Bayes,77.48275862,78.63948551,73.07692308,75.15385725,"['sex', 'cp', 'thalach']"
71,Naive Bayes,76.13793103,75.06753051,73.84615385,74.01558753,"['sex', 'cp', 'exang']"
72,Naive Bayes,78.16091954,77.38455988,75.98901099,75.68052608,"['sex', 'cp', 'oldpeak']"
73,Naive Bayes,75.82758621,74.68452381,71.75824176,72.91599512,"['sex', 'cp', 'slope']"
74,Naive Bayes,77.14942529,75.52003878,75.43956044,74.92636032,"['sex', 'cp', 'ca']"
75,Naive Bayes,76.83908046,77.07181054,71.7032967,73.88169662,"['sex', 'cp', 'thal']"
76,Naive Bayes,59.98850575,55.09972411,72.25274725,62.25187163,"['sex', 'trestbps', 'chol']"
77,Naive Bayes,58.63218391,53.12312198,72.30769231,60.77395862,"['sex', 'trestbps', 'fbs']"
78,Naive Bayes,65.37931034,63.05955482,61.37362637,61.35747123,"['sex', 'trestbps', 'restecg']"
79,Naive Bayes,73.4137931,78.03428516,64.83516484,69.30586843,"['sex', 'trestbps', 'thalach']"
80,Naive Bayes,71.03448276,75.56379731,58.2967033,64.66407583,"['sex', 'trestbps', 'exang']"
81,Naive Bayes,72.11494253,76.33044733,58.40659341,65.47169832,"['sex', 'trestbps', 'oldpeak']"
82,Naive Bayes,72.08045977,73.08180708,64.34065934,67.47251923,"['sex', 'trestbps', 'slope']"
83,Naive Bayes,77.13793103,80.05128205,67.36263736,72.54212454,"['sex', 'trestbps', 'ca']"
84,Naive Bayes,75.48275862,75.31934079,70.98901099,72.56624104,"['sex', 'trestbps', 'thal']"
85,Naive Bayes,57.95402299,53.32834761,72.1978022,61.14024301,"['sex', 'chol', 'fbs']"
86,Naive Bayes,62.29885057,57.86505007,69.28571429,62.73085481,"['sex', 'chol', 'restecg']"
87,Naive Bayes,71.04597701,75.00450938,64.06593407,67.21199264,"['sex', 'chol', 'thalach']"
88,Naive Bayes,70.3908046,78.18958819,53.2967033,61.90086484,"['sex', 'chol', 'exang']"
89,Naive Bayes,70.7816092,75.1535964,55.54945055,62.90692641,"['sex', 'chol', 'oldpeak']"
90,Naive Bayes,70.72413793,73.82006882,58.51648352,64.57881651,"['sex', 'chol', 'slope']"
91,Naive Bayes,77.13793103,83.57120657,64.45054945,71.52810454,"['sex', 'chol', 'ca']"
92,Naive Bayes,75.14942529,74.85469433,70.27472527,71.98920648,"['sex', 'chol', 'thal']"
93,Naive Bayes,57.89655172,54.88437002,56.75824176,53.79735733,"['sex', 'fbs', 'restecg']"
94,Naive Bayes,69.68965517,72.26515152,61.81318681,65.25829649,"['sex', 'fbs', 'thalach']"
95,Naive Bayes,70.3908046,77.14257964,54.72527473,62.81495795,"['sex', 'fbs', 'exang']"
96,Naive Bayes,69.77011494,74.07259407,52.63736264,60.8634956,"['sex', 'fbs', 'oldpeak']"
97,Naive Bayes,70.05747126,72.53635254,59.23076923,64.39574773,"['sex', 'fbs', 'slope']"
98,Naive Bayes,77.47126437,83.32012432,64.3956044,71.96108014,"['sex', 'fbs', 'ca']"
99,Naive Bayes,75.13793103,74.98023545,70.21978022,72.17105426,"['sex', 'fbs', 'thal']"
100,Naive Bayes,72.04597701,73.59586492,66.26373626,68.59881231,"['sex', 'restecg', 'thalach']"
101,Naive Bayes,71.05747126,78.76651127,54.01098901,62.97598854,"['sex', 'restecg', 'exang']"
102,Naive Bayes,73.45977011,80.64267677,57.63736264,66.12807719,"['sex', 'restecg', 'oldpeak']"
103,Naive Bayes,70.40229885,72.34154734,60.71428571,65.21479535,"['sex', 'restecg', 'slope']"
104,Naive Bayes,77.47126437,82.69075369,65.16483516,72.08928527,"['sex', 'restecg', 'ca']"
105,Naive Bayes,74.8045977,74.74280621,69.50549451,71.58151417,"['sex', 'restecg', 'thal']"
106,Naive Bayes,74.40229885,78.01404151,64.83516484,70.11375459,"['sex', 'thalach', 'exang']"
107,Naive Bayes,74.74712644,80.96686647,63.35164835,69.25031434,"['sex', 'thalach', 'oldpeak']"
108,Naive Bayes,71.36781609,72.78642926,64.12087912,67.14498584,"['sex', 'thalach', 'slope']"
109,Naive Bayes,77.40229885,81.11416361,67.85714286,73.2337006,"['sex', 'thalach', 'ca']"
110,Naive Bayes,77.8045977,75.74240465,77.41758242,76.1708614,"['sex', 'thalach', 'thal']"
111,Naive Bayes,73.7816092,75.59305972,65.65934066,69.75715447,"['sex', 'exang', 'oldpeak']"
112,Naive Bayes,71.04597701,69.70460095,66.37362637,67.184812,"['sex', 'exang', 'slope']"
113,Naive Bayes,74.42528736,76.84454434,66.48351648,70.26710613,"['sex', 'exang', 'ca']"
114,Naive Bayes,76.14942529,73.60627934,76.75824176,74.65715416,"['sex', 'exang', 'thal']"
115,Naive Bayes,73.77011494,75.85610958,62.85714286,67.52986685,"['sex', 'oldpeak', 'slope']"
116,Naive Bayes,75.79310345,80.74764451,64.23076923,70.68466456,"['sex', 'oldpeak', 'ca']"
117,Naive Bayes,76.81609195,74.65179918,76.7032967,75.44988847,"['sex', 'oldpeak', 'thal']"
118,Naive Bayes,75.7816092,82.60470085,61.48351648,69.52849791,"['sex', 'slope', 'ca']"
119,Naive Bayes,75.47126437,74.10401363,73.13186813,73.11767369,"['sex', 'slope', 'thal']"
120,Naive Bayes,77.11494253,75.06058158,77.47252747,75.80008561,"['sex', 'ca', 'thal']"
121,Naive Bayes,71.40229885,67.35094365,74.56043956,70.013956,"['cp', 'trestbps', 'chol']"
122,Naive Bayes,71.08045977,67.48246851,75.21978022,70.47103425,"['cp', 'trestbps', 'fbs']"
123,Naive Bayes,69.72413793,65.91151904,72.36263736,68.14722119,"['cp', 'trestbps', 'restecg']"
124,Naive Bayes,73.75862069,75.2382559,68.51648352,70.59436538,"['cp', 'trestbps', 'thalach']"
125,Naive Bayes,74.42528736,79.21106671,62.74725275,68.85080749,"['cp', 'trestbps', 'exang']"
126,Naive Bayes,76.47126437,81.26748252,64.94505495,71.23047719,"['cp', 'trestbps', 'oldpeak']"
127,Naive Bayes,72.08045977,71.78252222,68.02197802,69.14253907,"['cp', 'trestbps', 'slope']"
128,Naive Bayes,76.7816092,81.71212121,64.28571429,71.45454545,"['cp', 'trestbps', 'ca']"
129,Naive Bayes,77.51724138,77.98751249,71.75824176,74.42043563,"['cp', 'trestbps', 'thal']"
130,Naive Bayes,70.06896552,66.93697479,73.07692308,69.09049774,"['cp', 'chol', 'fbs']"
131,Naive Bayes,70.08045977,65.15453986,78.2967033,70.55911805,"['cp', 'chol', 'restecg']"
132,Naive Bayes,72.40229885,72.5234315,69.28571429,69.81453148,"['cp', 'chol', 'thalach']"
133,Naive Bayes,70.02298851,76.25777001,54.01098901,62.07541874,"['cp', 'chol', 'exang']"
134,Naive Bayes,75.12643678,78.16895604,65,70.30995381,"['cp', 'chol', 'oldpeak']"
135,Naive Bayes,71.09195402,68.68994649,73.13186813,70.26025498,"['cp', 'chol', 'slope']"
136,Naive Bayes,73.42528736,80.63419913,58.57142857,66.24376831,"['cp', 'chol', 'ca']"
137,Naive Bayes,77.85057471,79.34998335,70.27472527,74.25250726,"['cp', 'chol', 'thal']"
138,Naive Bayes,68.3908046,63.29146679,77.47252747,69.28239265,"['cp', 'fbs', 'restecg']"
139,Naive Bayes,73.04597701,74.63084465,67.74725275,70.08397717,"['cp', 'fbs', 'thalach']"
140,Naive Bayes,71.3908046,79.57070707,53.2967033,62.89393726,"['cp', 'fbs', 'exang']"
141,Naive Bayes,73.77011494,78.7967033,62.08791209,67.91673122,"['cp', 'fbs', 'oldpeak']"
142,Naive Bayes,69.40229885,68.21185677,68.02197802,67.57420037,"['cp', 'fbs', 'slope']"
143,Naive Bayes,75.11494253,81.77719503,60,68.43077711,"['cp', 'fbs', 'ca']"
144,Naive Bayes,77.85057471,79.34998335,70.27472527,74.25250726,"['cp', 'fbs', 'thal']"
145,Naive Bayes,75.09195402,76.58866134,70.05494505,72.06575933,"['cp', 'restecg', 'thalach']"
146,Naive Bayes,75.09195402,75.66208791,69.34065934,71.76170126,"['cp', 'restecg', 'exang']"
147,Naive Bayes,74.77011494,74.99394465,70.10989011,71.38827147,"['cp', 'restecg', 'oldpeak']"
148,Naive Bayes,74.44827586,72.75728112,73.13186813,72.12451808,"['cp', 'restecg', 'slope']"
149,Naive Bayes,75.43678161,82.38780664,62.25274725,69.01174011,"['cp', 'restecg', 'ca']"
150,Naive Bayes,78.18390805,80.87523588,69.56043956,74.309029,"['cp', 'restecg', 'thal']"
151,Naive Bayes,72.3908046,74.76714788,64.94505495,68.48287984,"['cp', 'thalach', 'exang']"
152,Naive Bayes,76.43678161,82.93589744,66.31868132,71.96601547,"['cp', 'thalach', 'oldpeak']"
153,Naive Bayes,74.06896552,76.19370825,68.68131868,71.01700593,"['cp', 'thalach', 'slope']"
154,Naive Bayes,78.12643678,81.12423687,70.87912088,74.69094493,"['cp', 'thalach', 'ca']"
155,Naive Bayes,79.18390805,78.14998237,78.24175824,77.78412318,"['cp', 'thalach', 'thal']"
156,Naive Bayes,75.09195402,78.1708153,65.65934066,70.48248733,"['cp', 'exang', 'oldpeak']"
157,Naive Bayes,74.05747126,74.93006993,69.45054945,71.08904351,"['cp', 'exang', 'slope']"
158,Naive Bayes,77.8045977,79.13003663,72.41758242,74.8916542,"['cp', 'exang', 'ca']"
159,Naive Bayes,79.1954023,77.49151584,79.01098901,77.83097735,"['cp', 'exang', 'thal']"
160,Naive Bayes,74.43678161,76.14319818,68.68131868,71.04436024,"['cp', 'oldpeak', 'slope']"
161,Naive Bayes,77.8045977,85.51280664,64.28571429,71.96954205,"['cp', 'oldpeak', 'ca']"
162,Naive Bayes,79.86206897,80.0004995,76.04395604,77.60779055,"['cp', 'oldpeak', 'thal']"
163,Naive Bayes,79.48275862,79.60782192,77.63736264,77.59922975,"['cp', 'slope', 'ca']"
164,Naive Bayes,75.81609195,77.24165051,70.32967033,72.74303985,"['cp', 'slope', 'thal']"
165,Naive Bayes,79.85057471,79.70267967,76.0989011,77.35462828,"['cp', 'ca', 'thal']"
166,Naive Bayes,54.51724138,49.75,27.52747253,34.88462447,"['trestbps', 'chol', 'fbs']"
167,Naive Bayes,56.17241379,51.11251167,45.16483516,46.84693816,"['trestbps', 'chol', 'restecg']"
168,Naive Bayes,68,73.38006356,53.84615385,60.26208021,"['trestbps', 'chol', 'thalach']"
169,Naive Bayes,70.71264368,76.4456932,56.15384615,63.38000784,"['trestbps', 'chol', 'exang']"
170,Naive Bayes,69.42528736,76.61882562,51.92307692,59.89129876,"['trestbps', 'chol', 'oldpeak']"
171,Naive Bayes,67.29885057,65.60171773,63.51648352,64.07702797,"['trestbps', 'chol', 'slope']"
172,Naive Bayes,68.02298851,74.96031746,47.63736264,56.92252232,"['trestbps', 'chol', 'ca']"
173,Naive Bayes,76.48275862,75.37209359,73.84615385,74.22548284,"['trestbps', 'chol', 'thal']"
174,Naive Bayes,53.17241379,48.21162171,38.62637363,42.34788147,"['trestbps', 'fbs', 'restecg']"
175,Naive Bayes,66.64367816,72.35227273,50.87912088,57.76117637,"['trestbps', 'fbs', 'thalach']"
176,Naive Bayes,70.71264368,76.70210345,55.43956044,63.15012278,"['trestbps', 'fbs', 'exang']"
177,Naive Bayes,68.42528736,76.25771451,50.43956044,58.31983894,"['trestbps', 'fbs', 'oldpeak']"
178,Naive Bayes,67,65.2425026,65.16483516,64.52976158,"['trestbps', 'fbs', 'slope']"
179,Naive Bayes,69.05747126,75.66991342,49.17582418,58.42606859,"['trestbps', 'fbs', 'ca']"
180,Naive Bayes,76.14942529,75.12209359,73.13186813,73.76571273,"['trestbps', 'fbs', 'thal']"
181,Naive Bayes,68.33333333,73.13694639,55.32967033,61.36303503,"['trestbps', 'restecg', 'thalach']"
182,Naive Bayes,71.37931034,76.1513209,58.2967033,64.81917406,"['trestbps', 'restecg', 'exang']"
183,Naive Bayes,66.74712644,73.27733378,49.72527473,56.82194489,"['trestbps', 'restecg', 'oldpeak']"
184,Naive Bayes,65.67816092,65.48429348,56.92307692,60.44190809,"['trestbps', 'restecg', 'slope']"
185,Naive Bayes,71.02298851,74.35103785,57.03296703,63.07847072,"['trestbps', 'restecg', 'ca']"
186,Naive Bayes,76.81609195,76.23564671,73.13186813,74.32400501,"['trestbps', 'restecg', 'thal']"
187,Naive Bayes,72.04597701,75.3884759,63.40659341,67.74727506,"['trestbps', 'thalach', 'exang']"
188,Naive Bayes,73.06896552,78.61506875,61.92307692,67.55542081,"['trestbps', 'thalach', 'oldpeak']"
189,Naive Bayes,71.37931034,71.66727227,66.42857143,68.31663139,"['trestbps', 'thalach', 'slope']"
190,Naive Bayes,74.71264368,79.46971819,64.17582418,69.42561847,"['trestbps', 'thalach', 'ca']"
191,Naive Bayes,77.47126437,74.62102848,78.84615385,76.40469988,"['trestbps', 'thalach', 'thal']"
192,Naive Bayes,75.44827586,77.3747225,68.57142857,71.8593407,"['trestbps', 'exang', 'oldpeak']"
193,Naive Bayes,69.68965517,71.95238095,58.35164835,63.53499479,"['trestbps', 'exang', 'slope']"
194,Naive Bayes,76.10344828,76.526356,72.30769231,73.40197978,"['trestbps', 'exang', 'ca']"
