,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,Naive Bayes,70.5650723,71.37615326,78.05147059,74.13733898,"['age', 'sex', 'cp']"
1,Naive Bayes,65.92843901,70.55202628,65.40441176,67.63201849,"['age', 'sex', 'trestbps']"
2,Naive Bayes,65.25101965,69.5242674,64.77941176,66.95218147,"['age', 'sex', 'chol']"
3,Naive Bayes,65.58435298,70.14285714,64.77941176,67.19279574,"['age', 'sex', 'fbs']"
4,Naive Bayes,66.24100853,70.68207283,65.33088235,67.77423873,"['age', 'sex', 'restecg']"
5,Naive Bayes,68.5083426,70.24883287,73.86029412,71.74947043,"['age', 'sex', 'thalach']"
6,Naive Bayes,71.67630701,70.23184774,83.75,76.31295581,"['age', 'sex', 'exang']"
7,Naive Bayes,71.30997405,70.81953592,81.91176471,75.61965625,"['age', 'sex', 'oldpeak']"
8,Naive Bayes,70.57730812,70.69473265,79.96323529,74.70594249,"['age', 'sex', 'slope']"
9,Naive Bayes,70.85539488,72.16244041,77.57352941,74.39133987,"['age', 'sex', 'ca']"
10,Naive Bayes,71.55431961,75.50656288,72.72058824,73.76015353,"['age', 'sex', 'thal']"
11,Naive Bayes,72.53133111,74.67596074,75.80882353,74.76591685,"['age', 'cp', 'trestbps']"
12,Naive Bayes,70.9306637,76.74601787,68.45588235,71.31912375,"['age', 'cp', 'chol']"
13,Naive Bayes,72.64404894,77.58666115,72.16911765,73.90365365,"['age', 'cp', 'fbs']"
14,Naive Bayes,74.28921023,78.77622867,74.59558824,75.64341593,"['age', 'cp', 'restecg']"
15,Naive Bayes,74.91286615,76.81787356,78.16176471,76.99931315,"['age', 'cp', 'thalach']"
16,Naive Bayes,74.91212458,76.82399248,78.23529412,77.28638749,"['age', 'cp', 'exang']"
17,Naive Bayes,77.58175751,78.53113063,83.125,80.24172254,"['age', 'cp', 'oldpeak']"
18,Naive Bayes,73.94512421,76.02664918,77.53676471,76.29733762,"['age', 'cp', 'slope']"
19,Naive Bayes,75.57953281,77.30672269,79.44852941,78.04248567,"['age', 'cp', 'ca']"
20,Naive Bayes,77.558769,82.02529089,75.77205882,78.60512572,"['age', 'cp', 'thal']"
21,Naive Bayes,62.06896552,64.25325972,70.99264706,66.9406024,"['age', 'trestbps', 'chol']"
22,Naive Bayes,56.74416018,59.29965064,66.76470588,62.49534917,"['age', 'trestbps', 'fbs']"
23,Naive Bayes,60.74638487,63.29974609,67.38970588,64.95789831,"['age', 'trestbps', 'restecg']"
24,Naive Bayes,69.00741565,69.8424554,75.84558824,72.48105761,"['age', 'trestbps', 'thalach']"
25,Naive Bayes,70.03040415,69.24951193,81.25,74.57417489,"['age', 'trestbps', 'exang']"
26,Naive Bayes,69.07489803,68.60323221,80.22058824,73.52617097,"['age', 'trestbps', 'oldpeak']"
27,Naive Bayes,68.66332963,71.20985061,71.58088235,71.25406489,"['age', 'trestbps', 'slope']"
28,Naive Bayes,69.8991472,70.38001867,80.07352941,74.33446375,"['age', 'trestbps', 'ca']"
29,Naive Bayes,71.88839451,73.44492973,76.32352941,74.57221667,"['age', 'trestbps', 'thal']"
30,Naive Bayes,59.39006303,64.39805293,59.375,61.04137468,"['age', 'chol', 'fbs']"
31,Naive Bayes,59.07971821,62.47009398,64.33823529,63.03705043,"['age', 'chol', 'restecg']"
32,Naive Bayes,67.07193178,68.60137599,74.08088235,70.91295306,"['age', 'chol', 'thalach']"
33,Naive Bayes,71.05339266,69.04217064,84.96323529,76.10574861,"['age', 'chol', 'exang']"
34,Naive Bayes,69.4097145,67.56145414,85.07352941,74.93170713,"['age', 'chol', 'oldpeak']"
35,Naive Bayes,68.67482388,70.47922502,73.41911765,71.67958296,"['age', 'chol', 'slope']"
36,Naive Bayes,71.87912495,71.49709998,83.16176471,76.24021684,"['age', 'chol', 'ca']"
37,Naive Bayes,73.18020022,73.35832228,80.51470588,76.37073321,"['age', 'chol', 'thal']"
38,Naive Bayes,57.47830923,61.0996732,62.53676471,61.47617175,"['age', 'fbs', 'restecg']"
39,Naive Bayes,69.00741565,70.30604084,75.80882353,72.56747774,"['age', 'fbs', 'thalach']"
40,Naive Bayes,71.69855395,69.95422433,84.88970588,76.52582571,"['age', 'fbs', 'exang']"
41,Naive Bayes,69.39822024,68.14954528,83.78676471,74.83184834,"['age', 'fbs', 'oldpeak']"
42,Naive Bayes,69.68631813,71.97128852,73.38235294,72.44528073,"['age', 'fbs', 'slope']"
43,Naive Bayes,71.56803856,71.35883123,83.16176471,76.08304855,"['age', 'fbs', 'ca']"
44,Naive Bayes,71.54579162,73.04286658,76.25,74.18933395,"['age', 'fbs', 'thal']"
45,Naive Bayes,67.95142751,69.49007937,73.97058824,71.37259189,"['age', 'restecg', 'thalach']"
46,Naive Bayes,71.69855395,69.36035246,86.13970588,76.77102927,"['age', 'restecg', 'exang']"
47,Naive Bayes,68.70930664,67.66075141,83.19852941,74.23443412,"['age', 'restecg', 'oldpeak']"
48,Naive Bayes,68.34149055,69.84382856,74.00735294,71.59832388,"['age', 'restecg', 'slope']"
