,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
230,Neural Network,55.10975158,54.93984498,98.19852941,70.42964274,"['fbs', 'restecg', 'thalach']"
143,Neural Network,77.19466073,72.97738665,93.93382353,81.9673514,"['cp', 'fbs', 'ca']"
7611,Neural Network,83.86503522,81.29837874,92.75735294,86.40150789,"['sex', 'cp', 'chol', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
7957,Neural Network,82.47423063,79.35181983,92.75735294,85.4148416,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'slope', 'ca']"
3289,Neural Network,85.49017427,83.92148263,92.72058824,87.67939804,"['sex', 'cp', 'oldpeak', 'slope', 'ca', 'thal']"
238,Neural Network,59.72413793,59.02410924,92.61029412,71.56904345,"['fbs', 'thalach', 'slope']"
6717,Neural Network,84.8550241,82.87867619,92.16911765,87.04927591,"['sex', 'cp', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'thal']"
7931,Neural Network,82.85354097,80.17074828,92.16911765,85.57183114,"['age', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
6659,Neural Network,83.54245458,81.11854391,91.58088235,85.88866941,"['sex', 'cp', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'ca']"
7758,Neural Network,82.53096033,79.9649673,91.58088235,85.11964971,"['age', 'sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca']"
5078,Neural Network,80.19688543,77.15982139,91.58088235,83.55154702,"['sex', 'cp', 'chol', 'fbs', 'thalach', 'ca', 'thal']"
8098,Neural Network,84.84427141,83.45457673,91.54411765,87.02143837,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
3772,Neural Network,84.45569151,83.64140744,91.54411765,86.77057709,"['cp', 'fbs', 'oldpeak', 'slope', 'ca', 'thal']"
7841,Neural Network,84.48794957,83.05660877,91.54411765,86.73224445,"['age', 'sex', 'cp', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
7986,Neural Network,84.19911012,82.29668199,91.54411765,86.49752159,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
7972,Neural Network,83.82054134,81.77237211,91.54411765,86.17276501,"['sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'thal']"
7829,Neural Network,83.15461624,81.57572239,91.54411765,85.89104621,"['age', 'sex', 'cp', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'thal']"
7556,Neural Network,82.48720801,80.1929269,91.54411765,85.25557415,"['sex', 'cp', 'trestbps', 'chol', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
8094,Neural Network,84.47719689,82.64904295,91.50735294,86.60593713,"['age', 'sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
7967,Neural Network,81.80756396,79.41409417,91.50735294,84.74297713,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
8006,Neural Network,83.50945495,81.62112668,91.47058824,86.00464681,"['cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
8035,Neural Network,82.90804598,81.25468975,91.02941176,85.43998172,"['age', 'sex', 'cp', 'trestbps', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
7579,Neural Network,83.15313311,81.12752134,90.99264706,85.5757257,"['sex', 'cp', 'trestbps', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca']"
7609,Neural Network,82.85354097,81.33118335,90.99264706,85.54508419,"['sex', 'cp', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'thal']"
7559,Neural Network,81.8298109,79.33480426,90.99264706,84.55572918,"['sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca']"
739,Neural Network,77.56173526,74.80715795,90.99264706,81.50975714,"['cp', 'fbs', 'restecg', 'ca']"
6721,Neural Network,84.83277716,83.37647427,90.95588235,86.79339414,"['sex', 'cp', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
