MODEL ,F1-SCORE,Features
Logistic Regression,88.056353,"['sex', 'cp', 'trestbps', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
Logistic Regression,88.056353,"['sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
Decision Tree,86.1744941,"['cp', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['sex', 'cp', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['cp', 'fbs', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['cp', 'restecg', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['cp', 'exang', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['sex', 'cp', 'fbs', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['sex', 'cp', 'restecg', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['sex', 'cp', 'exang', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['cp', 'fbs', 'restecg', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['cp', 'fbs', 'exang', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['cp', 'restecg', 'exang', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['sex', 'cp', 'fbs', 'restecg', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['sex', 'cp', 'fbs', 'exang', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['sex', 'cp', 'restecg', 'exang', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['cp', 'fbs', 'restecg', 'exang', 'oldpeak', 'ca', 'thal']"
Decision Tree,86.1744941,"['sex', 'cp', 'fbs', 'restecg', 'exang', 'oldpeak', 'ca', 'thal']"
Naive Bayes,86.29739224,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'slope', 'ca', 'thal']"
Naive Bayes,86.26704015,"['sex', 'cp', 'trestbps', 'restecg', 'thalach', 'oldpeak', 'ca', 'thal']"
SVM,87.07441002,"['sex', 'cp', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
SVM,87.07441002,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
KNN,86.41201195,"['cp', 'fbs', 'oldpeak', 'slope', 'ca', 'thal']"
Vote,86.92494344,"['sex', 'cp', 'trestbps', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
Neural Network,87.67939804,"['sex', 'cp', 'oldpeak', 'slope', 'ca', 'thal']"
