,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,KNN,67.67185762,72.09299838,67.97794118,69.29632611,"['age', 'sex', 'cp']"
1,KNN,59.41082684,63.77579365,60.11029412,61.60734002,"['age', 'sex', 'trestbps']"
2,KNN,57.47830923,61.60189076,60.66176471,60.89719953,"['age', 'sex', 'chol']"
3,KNN,60.67816092,63.42919799,64.33823529,63.43596244,"['age', 'sex', 'fbs']"
4,KNN,61.68965517,64.19125018,66.80147059,65.10481559,"['age', 'sex', 'restecg']"
5,KNN,67.58435298,70.7282469,69.63235294,69.87429614,"['age', 'sex', 'thalach']"
6,KNN,65.08120133,67.31453634,69.26470588,67.95418654,"['age', 'sex', 'exang']"
7,KNN,66.29551353,68.48271173,72.83088235,69.97875685,"['age', 'sex', 'oldpeak']"
8,KNN,64.0252132,67.76340975,65.55147059,66.32929694,"['age', 'sex', 'slope']"
9,KNN,67.60585836,68.57724227,77.75735294,72.19377714,"['age', 'sex', 'ca']"
10,KNN,60.70114943,63.18545026,68.01470588,65.05740769,"['age', 'sex', 'thal']"
11,KNN,60.36781609,65.10174333,60.07352941,62.24875001,"['age', 'cp', 'trestbps']"
12,KNN,58.11271783,61.85819328,62.42647059,61.93167549,"['age', 'cp', 'chol']"
13,KNN,67.3277716,71.07006298,68.56617647,69.24921387,"['age', 'cp', 'fbs']"
14,KNN,64.67037449,67.96623724,67.94117647,67.3208036,"['age', 'cp', 'restecg']"
15,KNN,69.54134223,72.69641109,71.47058824,71.73420362,"['age', 'cp', 'thalach']"
16,KNN,68.34000742,70.60566846,72.79411765,71.2144875,"['age', 'cp', 'exang']"
17,KNN,67.34927697,68.66715809,73.56617647,70.63130407,"['age', 'cp', 'oldpeak']"
18,KNN,66.37152392,69.76603367,68.60294118,68.79309814,"['age', 'cp', 'slope']"
19,KNN,68.94067482,70.77318803,74.59558824,72.34962665,"['age', 'cp', 'ca']"
20,KNN,69.29551353,72.2293996,72.20588235,71.71892385,"['age', 'cp', 'thal']"
21,KNN,56.36633296,59.01587302,66.02941176,62.07236543,"['age', 'trestbps', 'chol']"
22,KNN,60.41156841,64.877442,60.69852941,62.48525993,"['age', 'trestbps', 'fbs']"
23,KNN,60.42306266,64.68055556,61.32352941,62.69604969,"['age', 'trestbps', 'restecg']"
24,KNN,67.40600667,69.21841033,71.65441176,70.10593639,"['age', 'trestbps', 'thalach']"
25,KNN,59.75565443,64.20436508,60.11029412,61.8008884,"['age', 'trestbps', 'exang']"
26,KNN,59.7226548,64.08577534,60.66176471,62.0941309,"['age', 'trestbps', 'oldpeak']"
27,KNN,60.41156841,64.91865079,60.73529412,62.45411421,"['age', 'trestbps', 'slope']"
28,KNN,61.04597701,65.69148692,60.66176471,62.90623982,"['age', 'trestbps', 'ca']"
29,KNN,60.73414905,64.94371345,61.32352941,62.84619984,"['age', 'trestbps', 'thal']"
