,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,Logistic Regression,74.11197627,76.75997034,75,75.45772079,"['age', 'sex', 'cp']"
1,Logistic Regression,65.59510567,69.55707283,65.99264706,67.54933792,"['age', 'sex', 'trestbps']"
2,Logistic Regression,65.93919169,70.38286468,65.40441176,67.64671307,"['age', 'sex', 'chol']"
3,Logistic Regression,65.58435298,69.78991597,65.36764706,67.33985456,"['age', 'sex', 'fbs']"
4,Logistic Regression,67.00815721,70.30364372,70.99264706,70.16426911,"['age', 'sex', 'restecg']"
5,Logistic Regression,69.22024472,70.59133127,75.77205882,72.72762313,"['age', 'sex', 'thalach']"
6,Logistic Regression,71.00889878,69.04217064,84.92647059,76.09073359,"['age', 'sex', 'exang']"
7,Logistic Regression,73.62254357,74.02831345,81.94852941,77.07876953,"['age', 'sex', 'oldpeak']"
8,Logistic Regression,69.94364108,70.41722897,77.57352941,73.43166076,"['age', 'sex', 'slope']"
9,Logistic Regression,76.50500556,75.74007937,86.13970588,80.18450174,"['age', 'sex', 'ca']"
10,Logistic Regression,71.87690026,73.71480644,77.61029412,75.18453718,"['age', 'sex', 'thal']"
11,Logistic Regression,75.2332221,80.51000144,74.00735294,76.09387661,"['age', 'cp', 'trestbps']"
12,Logistic Regression,74.24323322,79.27255639,73.34558824,75.04999239,"['age', 'cp', 'chol']"
13,Logistic Regression,74.92213571,80.24804659,73.93382353,75.81369303,"['age', 'cp', 'fbs']"
14,Logistic Regression,74.60029663,80.08019865,73.38235294,75.26418501,"['age', 'cp', 'restecg']"
15,Logistic Regression,73.93362996,76.55876992,76.43382353,75.8649042,"['age', 'cp', 'thalach']"
16,Logistic Regression,77.54727475,79.0340028,80.69852941,79.53195238,"['age', 'cp', 'exang']"
17,Logistic Regression,77.21468298,78.74141876,82.42647059,79.74058647,"['age', 'cp', 'oldpeak']"
18,Logistic Regression,75.25769373,77.27373581,78.75,77.63746586,"['age', 'cp', 'slope']"
19,Logistic Regression,73.60029663,76.32463662,76.47058824,75.85608851,"['age', 'cp', 'ca']"
20,Logistic Regression,72.87690026,75.64177489,74.55882353,74.52934132,"['age', 'cp', 'thal']"
21,Logistic Regression,57.03077494,58.77414444,71.61764706,64.16632261,"['age', 'trestbps', 'chol']"
22,Logistic Regression,58.66666667,60.12401528,72.79411765,65.44633696,"['age', 'trestbps', 'fbs']"
23,Logistic Regression,59.07971821,61.66102757,68.49264706,64.62607496,"['age', 'trestbps', 'restecg']"
24,Logistic Regression,68.98516871,69.34342876,77.05882353,72.68153929,"['age', 'trestbps', 'thalach']"
25,Logistic Regression,72.02113459,69.68502779,86.13970588,76.97345842,"['age', 'trestbps', 'exang']"
26,Logistic Regression,70.06340378,69.6070926,80.80882353,74.40131566,"['age', 'trestbps', 'oldpeak']"
27,Logistic Regression,69.04115684,71.81974875,71.61764706,71.50639294,"['age', 'trestbps', 'slope']"
28,Logistic Regression,72.85761958,73.63104285,80.03676471,76.07755359,"['age', 'trestbps', 'ca']"
29,Logistic Regression,71.62254357,71.67084154,79.41176471,75.0287629,"['age', 'trestbps', 'thal']"
30,Logistic Regression,56.36410827,58.01080022,72.79411765,64.24302028,"['age', 'chol', 'fbs']"
31,Logistic Regression,58.44605117,60.76872216,68.52941176,64.14028822,"['age', 'chol', 'restecg']"
32,Logistic Regression,67.04968484,68.26362307,74.08088235,70.85500072,"['age', 'chol', 'thalach']"
33,Logistic Regression,71.69855395,69.50958919,85.55147059,76.60837906,"['age', 'chol', 'exang']"
34,Logistic Regression,69.0189099,69.39632671,78.30882353,73.1300195,"['age', 'chol', 'oldpeak']"
35,Logistic Regression,69.3529848,72.074706,71.61764706,71.55834749,"['age', 'chol', 'slope']"
36,Logistic Regression,73.54727475,74.32508857,80.66176471,76.71401654,"['age', 'chol', 'ca']"
37,Logistic Regression,72.57879125,72.46078431,80.625,75.98340712,"['age', 'chol', 'thal']"
38,Logistic Regression,59.75787912,61.88205809,70.33088235,65.58353361,"['age', 'fbs', 'restecg']"
39,Logistic Regression,68.32999629,69.47973153,75.88235294,72.04559508,"['age', 'fbs', 'thalach']"
