MODEL ,RECALL ,FEATURES
Vote,87.86764706,"['sex', 'cp', 'trestbps', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
KNN,96.47058824,"['sex', 'fbs', 'restecg']"
SVM,92.13235294,"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
SVM,92.13235294,"['sex', 'cp', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
SVM,92.13235294,"['sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
SVM,92.13235294,"['age', 'sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
SVM,92.13235294,"['sex', 'cp', 'trestbps', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
Naive Bayes,90.91911765,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'ca']"
Naive Bayes,90.91911765,"['sex', 'cp', 'trestbps', 'restecg', 'thalach', 'oldpeak', 'ca']"
Logistic Regression,92.13235294,"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
Decision Tree,96.98529412,"['cp', 'fbs', 'ca']"
Neural Network,98.19852941,"['fbs', 'restecg', 'thalach']"
