,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,SVM,72.01149425,70.23808871,69.23076923,69.21254786,"['age', 'sex', 'cp']"
1,SVM,64.25287356,61.00903547,65.65934066,62.72627713,"['age', 'sex', 'trestbps']"
2,SVM,63.93103448,61.14044616,64.17582418,61.62922237,"['age', 'sex', 'chol']"
3,SVM,63.96551724,61.1028971,65.6043956,62.30518051,"['age', 'sex', 'fbs']"
4,SVM,65.68965517,63.01098901,60.6043956,61.17127598,"['age', 'sex', 'restecg']"
5,SVM,71.02298851,69.36889499,67.25274725,67.80402107,"['age', 'sex', 'thalach']"
6,SVM,71.06896552,78.65151515,53.79120879,62.86396761,"['age', 'sex', 'exang']"
7,SVM,70.37931034,72.9265873,57.52747253,63.18888129,"['age', 'sex', 'oldpeak']"
8,SVM,68.68965517,67.73792874,61.31868132,63.90860154,"['age', 'sex', 'slope']"
9,SVM,77.16091954,80.76479076,65.10989011,71.66368125,"['age', 'sex', 'ca']"
10,SVM,76.37931034,75.86165224,72.85714286,73.84902224,"['age', 'sex', 'thal']"
11,SVM,73.73563218,70.34035701,75.87912088,72.52194156,"['age', 'cp', 'trestbps']"
12,SVM,74.33333333,71.19023379,74.94505495,72.80493915,"['age', 'cp', 'chol']"
13,SVM,75.45977011,72.63574661,75.93406593,73.99834574,"['age', 'cp', 'fbs']"
14,SVM,73.37931034,70.56360551,75.05494505,71.99878321,"['age', 'cp', 'restecg']"
15,SVM,75.40229885,73.53374811,75.05494505,73.4517188,"['age', 'cp', 'thalach']"
16,SVM,70.70114943,76.42676768,52.52747253,61.80713489,"['age', 'cp', 'exang']"
17,SVM,75.06896552,73.67499167,71.48351648,72.3729878,"['age', 'cp', 'oldpeak']"
18,SVM,73.70114943,70.25541126,74.34065934,71.87356322,"['age', 'cp', 'slope']"
19,SVM,70.4137931,69.08353085,65.93406593,66.40082352,"['age', 'cp', 'ca']"
20,SVM,75.8045977,75.11813187,71.7032967,72.85916077,"['age', 'cp', 'thal']"
21,SVM,60.81609195,59.72025085,58.35164835,58.12542955,"['age', 'trestbps', 'chol']"
22,SVM,59.90804598,57.23812299,56.92307692,56.33283863,"['age', 'trestbps', 'fbs']"
23,SVM,56.89655172,53.32755072,56.31868132,53.52354661,"['age', 'trestbps', 'restecg']"
24,SVM,68.65517241,70.2965368,57.03296703,62.39264069,"['age', 'trestbps', 'thalach']"
25,SVM,71.06896552,75.72222222,54.01098901,62.39745558,"['age', 'trestbps', 'exang']"
26,SVM,67.37931034,68.4716161,55.6043956,60.32709641,"['age', 'trestbps', 'oldpeak']"
27,SVM,68.66666667,63.18408711,73.73626374,67.74037916,"['age', 'trestbps', 'slope']"
28,SVM,74.10344828,75.11798659,65.76923077,69.67577845,"['age', 'trestbps', 'ca']"
29,SVM,76.48275862,76.64414099,73.18681319,74.0763571,"['age', 'trestbps', 'thal']"
30,SVM,60.91954023,57.93939394,61.42857143,59.2617756,"['age', 'chol', 'fbs']"
31,SVM,54.89655172,51.10224927,58.46153846,54.12397445,"['age', 'chol', 'restecg']"
32,SVM,70.05747126,70.11638362,59.83516484,63.66980478,"['age', 'chol', 'thalach']"
33,SVM,71.08045977,77.79220779,54.28571429,63.2911726,"['age', 'chol', 'exang']"
34,SVM,68.65517241,71.85485348,56.15384615,61.98428238,"['age', 'chol', 'oldpeak']"
35,SVM,68.71264368,64.54425893,73.84615385,68.40686742,"['age', 'chol', 'slope']"
36,SVM,74.03448276,75.87712288,64.78021978,68.82466654,"['age', 'chol', 'ca']"
37,SVM,76.4137931,75.41491597,73.02197802,73.5084569,"['age', 'chol', 'thal']"
38,SVM,58.62068966,56.01615133,56.81318681,55.73676886,"['age', 'fbs', 'restecg']"
39,SVM,68.65517241,69.20512821,59.06593407,63.30759321,"['age', 'fbs', 'thalach']"
40,SVM,71.06896552,77.34165834,54.12087912,62.62046504,"['age', 'fbs', 'exang']"
41,SVM,67.34482759,69.41503268,54.61538462,60.14743368,"['age', 'fbs', 'oldpeak']"
42,SVM,68.74712644,65.7029433,73.9010989,68.9117272,"['age', 'fbs', 'slope']"
43,SVM,74.05747126,77.58179321,64.23076923,69.20084408,"['age', 'fbs', 'ca']"
44,SVM,76.36781609,75.57395382,72.74725275,73.68607829,"['age', 'fbs', 'thal']"
45,SVM,67.72413793,67.39284653,60.87912088,62.98067328,"['age', 'restecg', 'thalach']"
46,SVM,71.03448276,75.92676768,53.95604396,62.86450361,"['age', 'restecg', 'exang']"
47,SVM,67.36781609,69.97707848,52.69230769,59.69098116,"['age', 'restecg', 'oldpeak']"
48,SVM,68.65517241,64.1897452,73.68131868,68.4478382,"['age', 'restecg', 'slope']"
49,SVM,72.73563218,77.12541543,60.6043956,66.85172793,"['age', 'restecg', 'ca']"
50,SVM,76.44827586,75.99483849,73.02197802,74.02271483,"['age', 'restecg', 'thal']"
51,SVM,71.01149425,77.05885781,53.73626374,61.97897522,"['age', 'thalach', 'exang']"
