,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
0,Vote,73.45606229143493,76.43833290892115,73.78676470588236,74.73970024634161,"['age', 'sex', 'cp']"
1,Vote,66.91842788283277,72.48222365869424,64.19117647058823,67.80138228311851,"['age', 'sex', 'trestbps']"
2,Vote,65.92843900630331,71.25824175824175,63.60294117647059,66.99000728818173,"['age', 'sex', 'chol']"
3,Vote,65.58435298479793,70.14285714285715,64.77941176470588,67.19279573999688,"['age', 'sex', 'fbs']"
4,Vote,65.94141638857991,72.39702699261522,61.69117647058824,66.36243100626729,"['age', 'sex', 'restecg']"
5,Vote,68.50834260289209,70.53454715219421,73.2720588235294,71.59400193460914,"['age', 'sex', 'thalach']"
6,Vote,71.67630700778643,70.23184773528023,83.75,76.3129558129558,"['age', 'sex', 'exang']"
7,Vote,72.5995550611791,74.08724252184004,78.8970588235294,75.786891471102,"['age', 'sex', 'oldpeak']"
8,Vote,71.25621060437524,72.53243402624207,76.3235294117647,73.97418017968887,"['age', 'sex', 'slope']"
9,Vote,73.16870596959583,75.68802521008404,76.98529411764706,75.901833460657,"['age', 'sex', 'ca']"
10,Vote,73.18946978123842,77.89865689865691,72.72058823529412,74.88102832901792,"['age', 'sex', 'thal']"
11,Vote,74.88839451242121,81.37126517273575,71.54411764705883,75.08585325120036,"['age', 'cp', 'trestbps']"
12,Vote,72.92065257693734,81.6652769744875,67.20588235294119,72.24355060339487,"['age', 'cp', 'chol']"
13,Vote,73.2769744160178,80.5605600539811,69.66911764705883,73.43897778158068,"['age', 'cp', 'fbs']"
14,Vote,74.25621060437524,80.50063605984657,72.13235294117646,74.7743730938948,"['age', 'cp', 'restecg']"
15,Vote,73.60029662588062,76.68295292598698,75.18382352941177,75.39550432081391,"['age', 'cp', 'thalach']"
16,Vote,75.21245828698554,78.15407391026586,76.3970588235294,76.9274142208203,"['age', 'cp', 'exang']"
17,Vote,78.20393029291807,80.79958362930499,80.66176470588235,80.10791294675995,"['age', 'cp', 'oldpeak']"
18,Vote,74.2677048572488,77.0035337899115,76.36029411764706,76.25219747397168,"['age', 'cp', 'slope']"
19,Vote,74.26696329254729,77.08518326358885,76.47058823529412,76.30478939349908,"['age', 'cp', 'ca']"
20,Vote,74.5558027437894,83.10667110667112,67.31617647058823,73.90485688764332,"['age', 'cp', 'thal']"
21,Vote,61.67964404894326,65.74733402132783,64.26470588235294,64.64219931736126,"['age', 'trestbps', 'chol']"
22,Vote,60.35780496848351,63.92724788970919,64.30147058823529,63.71992200110862,"['age', 'trestbps', 'fbs']"
23,Vote,59.42380422691878,63.38931605030675,61.286764705882355,62.03260786230425,"['age', 'trestbps', 'restecg']"
24,Vote,68.65183537263626,69.83858543417367,74.5955882352941,71.89632371632023,"['age', 'trestbps', 'thalach']"
25,Vote,70.6755654430849,69.88587556234616,81.25,74.96225527454928,"['age', 'trestbps', 'exang']"
26,Vote,69.75157582499074,71.38944227576613,74.77941176470588,72.54929963634898,"['age', 'trestbps', 'oldpeak']"
27,Vote,66.70559881349647,70.65918803418803,66.76470588235294,68.52228649069093,"['age', 'trestbps', 'slope']"
28,Vote,72.20096403411198,74.94240726593668,75.1470588235294,74.29596900185136,"['age', 'trestbps', 'ca']"
29,Vote,70.9758991472006,75.38657283548925,70.33088235294119,72.12982611749042,"['age', 'trestbps', 'thal']"
30,Vote,60.65739710789766,67.11933242196399,56.91176470588235,60.91008901492773,"['age', 'chol', 'fbs']"
31,Vote,59.07971820541342,63.44755884810065,61.94852941176471,62.269683840007076,"['age', 'chol', 'restecg']"
32,Vote,67.04968483500186,69.22096741407887,71.61764705882354,70.20224781017001,"['age', 'chol', 'thalach']"
33,Vote,71.05339265850947,69.20883731066797,84.375,75.93586443586443,"['age', 'chol', 'exang']"
34,Vote,68.69632925472747,69.16756854256853,77.7205882352941,72.7266581597077,"['age', 'chol', 'oldpeak']"
35,Vote,69.35298479792363,72.4318488529015,71.02941176470588,71.31363114228063,"['age', 'chol', 'slope']"
36,Vote,73.22469410456061,74.27724167817047,79.48529411764706,76.20119602589976,"['age', 'chol', 'ca']"
37,Vote,73.55728587319244,75.79388374783112,76.94852941176471,75.6817872987228,"['age', 'chol', 'thal']"
38,Vote,57.47830923248053,61.463235294117645,61.32352941176471,61.06046000822878,"['age', 'fbs', 'restecg']"
39,Vote,68.32925472747498,70.69818300894153,72.79411764705883,71.2819946706644,"['age', 'fbs', 'thalach']"
40,Vote,72.02113459399332,70.22596345937308,84.88970588235294,76.7087525384739,"['age', 'fbs', 'exang']"
41,Vote,68.70782350760103,69.44174748465366,77.09558823529412,72.64036913379019,"['age', 'fbs', 'oldpeak']"
42,Vote,69.04115684093438,72.04936974789915,71.58088235294117,71.56119220825104,"['age', 'fbs', 'slope']"
